item_id,id,description,type,count,target,victim,order,reward
0,0,CggIhsC54jcQAhAC,KILL,1,ENEMY,9,100,0_500_0
1,0,CggIhsC54jcQAhAD,COUNT,10,STARS,,100,0_500_0
2,0,CggIhsC54jcQAhAE,COUNT,30,STARS,,100,0_500_0
3,0,CggIhsC54jcQAhAF,BUILD,20,TOWER,,100,0_500_0
4,0,CggIhsC54jcQAhAG,BUILD,50,TOWER,,100,0_500_0
5,0,CggIhsC54jcQAhAH,KILL,500,ENEMY,,100,0_500_0
6,0,CggIhsC54jcQAhAI,KILL,1000,ENEMY,,100,0_500_0
7,0,CggIhsC54jcQAhAJ,KILL,2000,ENEMY,,100,0_500_0
8,0,CggIhsC54jcQAhAK,COUNT,1,WAVE,,100,0_500_0
9,0,CggIhsC54jcQAhAL,SELL,5,TOWER,,100,0_500_0
10,0,CggIhsC54jcQAhAM,SURVIVAL,3,HERO,,100,0_500_0
11,0,CggIhsC54jcQAhAN,SURVIVAL,7,HERO,,100,0_500_0
12,0,CggIhsC54jcQAhAO,COMPLETE,1,MAP,19,100,0_500_0
13,0,CggIhsC54jcQAhAP,COMPLETE,1,MAP_NIGHTMARE,19,100,0_500_0
