item_id,id,product_id,type,spent_type,price,quantity,consumable,item_type
0,0,,81,,0,1,1,2
1,0,,0,81,1,50,1,2
2,7,,18,81,7,10,1,2
3,3,,18,81,10,1,1,2
4,0,,48,81,20,1,1,2
5,0,com.zitga.empire.warriors.td.tower.defense_autumn_festival_lantern_2.99,80,,2.99,20,1,2
5,0,,23,,,30,1,2
6,0,com.zitga.empire.warriors.td.tower.defense_autumn_festival_lantern_4.99,80,,4.99,40,1,2
6,0,,23,,,50,1,2
7,0,com.zitga.empire.warriors.td.tower.defense_autumn_festival_lantern_9.99,80,,9.99,90,1,2
7,0,,23,,,100,1,2
8,1,com.zitga.empire.warriors.td.tower.defense_autumn_festival_secret_chest_0.99,82,,0.99,1,1,2
8,0,,23,,,10,1,2
