item_id,id,type,loop,target,victim,order,count,reward
0,0,USE,0,ITEM,,0,7,0_3_52
1,0,USE,0,ITEM,,0,14,0_5_52
2,0,USE,0,ITEM,,0,28,0_8_52
3,0,PLAY,0,TOURNAMENT,,0,3,0_3_52
4,0,PLAY,0,TOURNAMENT,,0,5,0_5_52
5,0,PLAY,0,TOURNAMENT,,0,7,0_8_52
6,0,KILL,0,ENEMY,,0,1000,0_2_52
7,0,KILL,0,ENEMY,,0,2000,0_3_52
8,0,KILL,0,ENEMY,,0,4000,0_5_52
9,0,ENHANCE,0,ANY_RUNE,,0,10,0_3_52
10,0,ENHANCE,0,ANY_RUNE,,0,25,0_5_52
11,0,ENHANCE,0,ANY_RUNE,,0,40,0_8_52
12,0,COMPOSE,0,ANY_RUNE,,0,5,0_3_52
13,0,COMPOSE,0,ANY_RUNE,,0,10,0_5_52
14,0,COMPOSE,0,ANY_RUNE,,0,30,0_8_52
15,0,CAST,0,HERO,,0,50,0_3_52
16,0,CAST,0,HERO,,0,100,0_5_52
17,0,CAST,0,HERO,,0,170,0_8_52
