item_id,id,product_id,price,price_previous,type,quantity,consumable,vip_point,limit_total_number,spent_type,spent_quantity,item_type
0,0,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_personal_offer_19.99,19.99,66.99,0,9000,1,,1,,,86
0,0,,,,9,1500,,,,,,
0,0,,,,48,4,,,,,,
0,0,,,,23,200,,,,,,
1,6,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_thraldin_4.99,4.99,0,7,1,1,,1,,,87
1,0,,,,23,50,,,,,,
2,7,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_leon_4.99,4.99,0,7,1,1,,1,,,87
2,0,,,,23,50,,,,,,
3,8,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_aarendel_4.99,4.99,0,7,1,1,,1,,,87
3,0,,,,23,50,,,,,,
4,9,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_lyna_4.99,4.99,0,7,1,1,,1,,,87
4,0,,,,23,50,,,,,,
5,10,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_elowyn_4.99,4.99,0,7,1,1,,1,,,87
5,0,,,,23,50,,,,,,
6,11,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_thirios_4.99,4.99,0,7,1,1,,1,,,87
6,0,,,,23,50,,,,,,
7,5,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_miria_4.99,4.99,0,7,1,1,,1,,,87
7,0,,,,23,50,,,,,,
8,1,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_moon_miria_9.99,4.99,0,61,1,1,,1,,,88
8,0,,,,23,50,,,,,,
9,1,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_dark_arryn_4.99,4.99,0,58,1,1,,1,,,88
9,0,,,,23,50,,,,,,
10,1,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_blood_elf_4.99,4.99,0,64,1,1,,1,,,88
10,0,,,,23,50,,,,,,
11,3,com.zitga.empire.warriors.td.tower.defense_bundle_black_friday_10_runes_5_4.99,4.99,0,18,1,1,,10,,,89
11,0,,,,23,50,,,,,,
