item_id,id,product_id,type,price,spent_type,quantity,consumable,rune_star,rune_level,tab_index,tab,recommendation,limit_number_in_day,weight
1,0,com.zitga.empire.warriors.td.tower.defense_gem_and_crystal_bundle_4.99,0,4.99,,1800,1,,,4,Essential Resource,,0,
1,0,,9,0,,360,,,,,,,,
1,0,,23,0,,50,,,,,,,,
2,0,com.zitga.empire.warriors.td.tower.defense_gem_and_crystal_bundle_9.99,0,9.99,,4500,1,,,4,Essential Resource,,0,
2,0,,9,0,,900,,,,,,,,
2,0,,48,0,,1,,,,,,,,
2,0,,23,0,,100,,,,,,,,
3,0,com.zitga.empire.warriors.td.tower.defense_gem_and_crystal_bundle_19.99,0,19.99,,10500,1,,,4,Essential Resource,,0,
3,0,,9,0,,2100,,,,,,,,
3,0,,48,0,,2,,,,,,,,
3,0,,23,0,,200,,,,,,,,
4,0,com.zitga.empire.warriors.td.tower.defense_gem_and_crystal_bundle_49.99,0,49.99,,30000,1,,,4,Essential Resource,,0,
4,0,,9,0,,6000,,,,,,,,
4,0,,48,0,,5,,,,,,,,
4,0,,23,0,,500,,,,,,,,
5,0,com.zitga.empire.warriors.td.tower.defense_gem_and_crystal_bundle_99.99,0,99.99,,75000,1,,,4,Essential Resource,,0,
5,0,,9,,,15000,,,,,,,,
5,0,,48,,,10,,,,,,,,
5,0,,23,,,1000,,,,,,,,
12,4,com.zitga.empire.warriors.td.tower.defense_deadly_strike_11.99,12,9.99,,2,1,4,0,2,Popular Rune Set, Arryn; Miria; Elowyn; Thirios,1,
12,5,,12,,,2,,4,0,,,,,
12,6,,12,,,2,,4,0,,,,,
12,0,,48,,,2,,,,,,,,
12,0,,23,,,100,,,,,,,,
13,0,com.zitga.empire.warriors.td.tower.defense_armor_penetration_11.99,12,9.99,,2,1,4,0,2,Popular Rune Set, Arryn; Miria; Elowyn; Thirios,1,
13,4,,12,,,2,,4,0,,,,,
13,11,,12,,,2,,4,0,,,,,
13,0,,48,,,2,,,,,,,,
13,0,,23,,,100,,,,,,,,
16,3,com.zitga.empire.warriors.td.tower.defense_goddess_messenger_11.99,12,9.99,,3,1,4,0,2,Popular Rune Set, Lyna,1,
16,9,,12,,,3,,4,0,,,,,
16,0,,48,,,2,,,,,,,,
16,0,,23,,,100,,,,,,,,
17,8,com.zitga.empire.warriors.td.tower.defense_reincarnation_11.99,12,9.99,,6,1,4,0,2,Popular Rune Set, Zelos; Leon; Jave,1,
17,0,,48,,,2,,,,,,,,
17,0,,23,,,100,,,,,,,,
20,2,com.zitga.empire.warriors.td.tower.defense_empower_16.99,12,14.99,,3,1,4,10,3,Deluxe Rune Set, Miria; Aarendel,1,
20,9,,12,,,3,,4,10,,,,,
20,0,,48,,,4,,,,,,,,
20,0,,23,,,150,,,,,,,,
21,8,com.zitga.empire.warriors.td.tower.defense_reincarnation_16.99,12,14.99,,6,1,4,10,3,Deluxe Rune Set, Zelos; Leon; Jave,1,
21,0,,48,,,4,,,,,,,,
21,0,,23,,,150,,,,,,,,
22,0,com.zitga.empire.warriors.td.tower.defense_war_god_16.99,12,14.99,,3,1,4,10,3,Deluxe Rune Set, Leon; Miria; Elowyn,1,
22,9,,12,,,3,,4,10,,,,,
22,0,,48,,,4,,,,,,,,
22,0,,23,,,150,,,,,,,,
23,4,com.zitga.empire.warriors.td.tower.defense_arryn_rune_16.99,12,14.99,,2,1,4,10,3,Deluxe Rune Set, Arryn;Elowyn; Miria,1,
23,10,,12,,,2,,4,10,,,,,
23,11,,12,,,2,,4,10,,,,,
23,0,,48,,,4,,,,,,,,
23,0,,23,,,150,,,,,,,,
24,0,com.zitga.empire.warriors.td.tower.defense_berserk_16.99,12,14.99,,4,1,4,10,3,Deluxe Rune Set, Arryn; Miria; Elowyn; Thirios,1,
24,4,,12,,,2,,4,10,,,,,
24,0,,48,,,4,,,,,,,,
24,0,,23,,,150,,,,,,,,
25,9,com.zitga.empire.warriors.td.tower.defense_lyna_goddess_messenger_14.99,7,14.99,,1,0,,,0,Supreme Hero Bundle,,0,
25,3,,12,,,3,,4,0,,,,,
25,9,,12,,,3,,4,0,,,,,
25,0,,48,,,2,,,,,,,,
25,0,,23,,,150,,,,,,,,
26,8,com.zitga.empire.warriors.td.tower.defense_aarendel_empower_14.99,7,14.99,,1,0,,,0,Supreme Hero Bundle,,0,
26,2,,12,,,3,,4,0,,,,,
26,9,,12,,,3,,4,0,,,,,
26,0,,48,,,2,,,,,,,,
26,0,,23,,,150,,,,,,,,
27,6,com.zitga.empire.warriors.td.tower.defense_thraldin_heavy_blow_14.99,7,11.99,,1,0,,,0,Supreme Hero Bundle,,0,
27,4,,12,,,4,,4,0,,,,,
27,1,,12,,,2,,4,0,,,,,
27,0,,48,,,2,,,,,,,,
27,0,,23,,,120,,,,,,,,
28,7,com.zitga.empire.warriors.td.tower.defense_leon_war_god_14.99,7,14.99,,1,0,,,0,Supreme Hero Bundle,,0,
28,0,,12,,,3,,4,0,,,,,
28,9,,12,,,3,,4,0,,,,,
28,0,,48,,,2,,,,,,,,
28,0,,23,,,150,,,,,,,,
29,10,com.zitga.empire.warriors.td.tower.defense_elowyn_war_god_14.99,7,14.99,,1,0,,,0,Supreme Hero Bundle,,0,
29,0,,12,,,3,,4,0,,,,,
29,9,,12,,,3,,4,0,,,,,
29,0,,48,,,2,,,,,,,,
29,0,,23,,,150,,,,,,,,
30,8,com.zitga.empire.warriors.td.tower.defense_the_more_the_merrie_11.99,7,11.99,,1,0,,,0,Supreme Hero Bundle,,0,
30,0,,36,,,1,,,,,,,,
30,0,,48,,,2,,,,,,,,
30,0,,23,,,120,,,,,,,,
31,9,com.zitga.empire.warriors.td.tower.defense_best_comrade_11.99,7,11.99,,1,0,,,0,Supreme Hero Bundle,,0,
31,1,,36,,,1,,,,,,,,
31,0,,48,,,2,,,,,,,,
31,0,,23,,,120,,,,,,,,
32,7,com.zitga.empire.warriors.td.tower.defense_burn_em_all_11.99,7,11.99,,1,0,,,0,Supreme Hero Bundle,,0,
32,3,,36,,,1,,,,,,,,
32,0,,48,,,2,,,,,,,,
32,0,,23,,,120,,,,,,,,
33,7,com.zitga.empire.warriors.td.tower.defense_fire_and_ice_11.99,7,11.99,,1,0,,,0,Supreme Hero Bundle,,0,
33,2,,36,,,1,,,,,,,,
33,0,,48,,,2,,,,,,,,
33,0,,23,,,120,,,,,,,,
34,7,com.zitga.empire.warriors.td.tower.defense_mysterious_rune_pack_2.99,18,2.99,,15,1,,,5,,,,
34,0,,23,,,30,,,,,,,,
35,3,com.zitga.empire.warriors.td.tower.defense_mega_rune_pack_4.99,18,4.99,,5,1,4,0,6,,,0,
35,0,,48,,,1,,,,,,,,
