item_id,id,type,quantity,
0,0,0,100,1
,,,,2
2,0,17,2,3
,,,,4
,,,,5
5,0,0,100,6
,,,,7
7,0,0,100,8
,,,,9
9,0,9,40,10
,,,,11
11,6,18,1,12
,,,,13
13,0,0,100,14
,,,,15
15,0,17,2,16
,,,,17
17,7,18,1,18
,,,,19
19,0,0,100,20
,,,,21
21,0,0,100,22
,,,,23
23,7,18,1,24
,,,,25
25,0,0,100,26
,,,,27
,,,,28
,,,,29
29,2,18,1,30
,,,,31
31,0,0,100,32
,,,,33
33,0,17,2,34
,,,,35
35,6,18,1,36
,,,,37
37,0,0,100,38
,,,,39
39,0,9,100,40
,,,,41
41,2,18,1,42
,,,,43
,,,,44
44,0,9,200,45
,,,,46
46,0,0,100,47
,,,,48
,,,,49
49,3,57,1,50
