item_id,id,type,quantity,
0,3,58,1,1
0,0,9,250,1
0,0,17,10,1
1,0,0,200,2
2,2,18,1,3
3,0,0,200,4
4,2,18,1,5
5,0,0,200,6
6,0,9,100,7
7,2,18,1,8
8,0,9,100,9
9,2,18,1,10
10,0,9,100,11
11,2,18,1,12
12,0,48,2,13
13,0,9,100,14
14,0,0,200,15
15,2,18,1,16
16,0,9,100,17
17,0,0,200,18
18,0,9,150,19
19,0,0,300,20
20,0,9,150,21
21,0,48,2,22
22,0,9,150,23
23,0,9,300,24
24,0,48,2,25
25,0,0,300,26
26,0,9,150,27
27,2,18,1,28
28,0,0,300,29
29,0,9,150,30
30,0,0,300,31
31,3,18,1,32
32,0,9,150,33
33,0,0,300,34
34,2,18,1,35
35,0,9,150,36
36,0,9,150,37
37,0,0,300,38
38,0,9,150,39
39,3,68,1,40
40,0,0,300,41
41,3,18,1,42
42,0,48,2,43
43,0,9,150,44
44,3,18,1,45
45,0,9,250,46
46,0,48,2,47
47,3,18,1,48
48,4,18,1,49
49,1,225,1,50
49,0,9,250,50
49,0,17,10,50
