weekly_id,item_id,id,type,loop,target,victim,order,count,reward
0,0,0,EARN,0,ANY_RUNE,,0,20,0_200_223
0,1,0,KILL,0,ENEMY,3,0,3000,0_250_223
0,2,0,PLAY_VICTORY,0,MAP_NIGHTMARE,,0,5,0_200_223
0,3,0,ENHANCE,0,ANY_RUNE,,0,15,0_200_223
0,4,0,USE,0,ITEM,,0,20,0_250_223
1,5,0,EARN,0,ANY_RUNE,,0,20,0_200_223
1,6,0,KILL,0,ENEMY,3,0,3000,0_250_223
1,7,0,PLAY_VICTORY,0,MAP_NIGHTMARE,,0,5,0_200_223
1,8,0,ENHANCE,0,ANY_RUNE,,0,15,0_200_223
1,9,0,USE,0,ITEM,,0,20,0_250_223
2,10,0,EARN,0,ANY_RUNE,,0,20,0_200_223
2,11,0,KILL,0,ENEMY,3,0,3000,0_250_223
2,12,0,PLAY_VICTORY,0,MAP_NIGHTMARE,,0,5,0_200_223
2,13,0,ENHANCE,0,ANY_RUNE,,0,15,0_200_223
2,14,0,USE,0,ITEM,,0,20,0_250_223
3,15,0,EARN,0,ANY_RUNE,,0,20,0_200_223
3,16,0,KILL,0,ENEMY,3,0,3000,0_250_223
3,17,0,PLAY_VICTORY,0,MAP_NIGHTMARE,,0,5,0_200_223
3,18,0,ENHANCE,0,ANY_RUNE,,0,15,0_200_223
3,19,0,USE,0,ITEM,,0,20,0_250_223
