map_id,condition_type,condition_value
0,6,1
0,7,0
0,5,2
1,6,1
1,8,0
1,5,2
2,6,1
2,9,0
2,4,3
3,6,1
3,10,0
3,4,3
4,6,1
4,0,0
4,3,0
5,6,1
5,1,0
5,2,0
6,6,1
6,4,3
6,5,2
7,6,1
7,0,0
7,1,0
8,6,1
8,9,0
8,4,3
9,6,1
9,3,0
9,2,0
10,6,1
10,7,0
10,4,2
11,6,1
11,0,0
11,1,0
12,6,1
12,2,0
12,3,0
13,6,1
13,1,0
13,5,2
14,6,1
14,3,0
14,0,0
15,6,1
15,4,2
15,1,0
16,6,1
16,5,2
16,3,0
17,6,1
17,8,0
17,5,2
18,6,1
18,0,0
18,2,0
19,6,1
19,0,0
19,4,1
20,6,1
20,1,0
20,4,1
21,6,1
21,1,0
21,2,0
22,6,1
22,0,0
22,3,0
23,6,1
23,0,0
23,2,0
24,6,1
24,3,0
24,4,1
25,6,1
25,1,0
25,4,1
26,6,1
26,2,0
26,0,0
27,6,1
27,0,0
27,1,0
28,6,1
28,3,0
28,2,0
29,6,1
29,3,0
29,4,1
30,6,1
30,3,0
30,2,0
31,6,1
31,0,0
31,1,0
32,6,1
32,1,0
32,4,3
33,6,1
33,0,0
33,2,0
34,6,1
34,3,0
34,4,1
35,6,1
35,4,1
35,2,0
36,6,1
36,0,0
36,1,0
37,6,1
37,2,0
37,3,0
38,6,1
38,3,0
38,4,1
39,6,1
39,1,0
39,4,1
