wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,min_bonus_gem,max_bonus_gem
0,0,0,0,1,750,1,20,20,,18,10,5,10
0,1,1.5,0,1,,,,,,,,,
0,2,1.8,0,1,,,,,,,,,
0,3,2.1,2,1,,,,,,,,,
0,4,1.8,2,1,,,,,,,,,
0,5,1.7,2,1,,,,,,,,,
0,6,1.5,2,1,,,,,,,,,
0,7,1.4,0,1,,,,,,,,,
0,8,1.4,0,1,,,,,,,,,
0,9,1.6,0,1,,,,,,,,,
0,10,19.9,0,1,,,,,,,,,
0,11,1.2,0,1,,,,,,,,,
0,12,1.5,0,1,,,,,,,,,
0,13,1.6,0,1,,,,,,,,,
0,14,1.2,0,1,,,,,,,,,
0,15,1.6,0,1,,,,,,,,,
0,0,15,0,0,,,,,,,,,
0,1,1.9,0,0,,,,,,,,,
0,2,1.8,0,0,,,,,,,,,
0,3,1.5,0,0,,,,,,,,,
0,4,1.7,0,0,,,,,,,,,
0,5,1.9,2,0,,,,,,,,,
0,6,1.8,2,0,,,,,,,,,
0,7,1.5,2,0,,,,,,,,,
0,8,1.7,2,0,,,,,,,,,
0,9,1.9,2,0,,,,,,,,,
0,10,1.8,2,0,,,,,,,,,
0,11,1.5,2,0,,,,,,,,,
0,12,9,2,0,,,,,,,,,
0,13,1.5,2,0,,,,,,,,,
0,14,1.7,2,0,,,,,,,,,
0,15,1.2,2,0,,,,,,,,,
0,16,1.4,2,0,,,,,,,,,
0,17,1,0,0,,,,,,,,,
0,18,1.4,0,0,,,,,,,,,
0,19,2,0,0,,,,,,,,,
0,20,1.6,0,0,,,,,,,,,
0,21,1.3,0,0,,,,,,,,,
0,22,2,0,0,,,,,,,,,
0,23,2.1,0,0,,,,,,,,,
0,24,2,0,0,,,,,,,,,
0,25,2,2,0,,,,,,,,,
0,26,2,2,0,,,,,,,,,
0,27,1.7,2,0,,,,,,,,,
0,28,1.7,2,0,,,,,,,,,
0,29,1.5,2,0,,,,,,,,,
1,0,0,1,1,,,,,,,,,
1,1,1,1,1,,,,,,,,,
1,2,1.4,1,1,,,,,,,,,
1,3,1.2,1,1,,,,,,,,,
1,4,1.5,1,1,,,,,,,,,
1,5,1.7,1,1,,,,,,,,,
1,6,1.2,1,1,,,,,,,,,
1,7,1,0,1,,,,,,,,,
1,8,0.4,0,1,,,,,,,,,
1,9,0.6,0,1,,,,,,,,,
1,10,0.7,0,1,,,,,,,,,
1,11,0.55,2,1,,,,,,,,,
1,12,0.65,2,1,,,,,,,,,
1,13,0.8,2,1,,,,,,,,,
1,14,0.46,2,1,,,,,,,,,
1,15,0.7,2,1,,,,,,,,,
1,16,0.65,0,1,,,,,,,,,
1,17,0.8,0,1,,,,,,,,,
1,18,0.46,0,1,,,,,,,,,
1,19,0.7,0,1,,,,,,,,,
1,20,1,2,1,,,,,,,,,
1,21,1.6,2,1,,,,,,,,,
1,22,1.7,2,1,,,,,,,,,
1,23,1.9,2,1,,,,,,,,,
1,24,1.2,2,1,,,,,,,,,
1,25,1,0,1,,,,,,,,,
1,26,1.2,0,1,,,,,,,,,
1,27,1.2,0,1,,,,,,,,,
1,28,0.9,0,1,,,,,,,,,
1,29,1,0,1,,,,,,,,,
1,30,1,2,1,,,,,,,,,
1,31,1.4,2,1,,,,,,,,,
1,32,1.2,2,1,,,,,,,,,
1,33,1.3,2,1,,,,,,,,,
1,34,1.8,2,1,,,,,,,,,
1,35,1,0,1,,,,,,,,,
1,36,1.7,0,1,,,,,,,,,
1,37,1.4,0,1,,,,,,,,,
1,38,1.3,2,1,,,,,,,,,
1,39,1.7,2,1,,,,,,,,,
1,40,1.4,2,1,,,,,,,,,
1,0,23.87,0,0,,,,,,,,,
1,1,1.8,0,0,,,,,,,,,
1,2,1.2,0,0,,,,,,,,,
1,3,0.8,0,0,,,,,,,,,
1,4,1,0,0,,,,,,,,,
1,5,1.1,0,0,,,,,,,,,
1,6,1.1,2,0,,,,,,,,,
1,7,1.5,2,0,,,,,,,,,
1,8,0.9,2,0,,,,,,,,,
1,9,1.8,2,0,,,,,,,,,
1,10,1.2,2,0,,,,,,,,,
1,11,1.3,0,0,,,,,,,,,
1,12,1.6,0,0,,,,,,,,,
1,13,1.5,0,0,,,,,,,,,
1,14,1.3,2,0,,,,,,,,,
1,15,1.6,2,0,,,,,,,,,
1,16,1.5,2,0,,,,,,,,,
2,0,0,0,0,,,,,,,,,
2,1,1.2,0,0,,,,,,,,,
2,2,1.6,0,0,,,,,,,,,
2,3,1.2,1,0,,,,,,,,,
2,4,1.7,1,0,,,,,,,,,
2,5,1.8,1,0,,,,,,,,,
2,6,1.7,1,0,,,,,,,,,
2,7,2,1,0,,,,,,,,,
2,8,1.3,1,0,,,,,,,,,
2,9,1.2,0,0,,,,,,,,,
2,10,1.5,0,0,,,,,,,,,
2,11,1.5,0,0,,,,,,,,,
2,12,1.7,2,0,,,,,,,,,
2,13,1.8,2,0,,,,,,,,,
2,14,1.8,2,0,,,,,,,,,
2,15,1.7,2,0,,,,,,,,,
2,16,2.2,2,0,,,,,,,,,
2,17,18.6,0,0,,,,,,,,,
2,18,1.2,0,0,,,,,,,,,
2,19,1.6,0,0,,,,,,,,,
2,20,1.2,0,0,,,,,,,,,
2,21,1.6,2,0,,,,,,,,,
2,22,1.2,2,0,,,,,,,,,
2,23,1,2,0,,,,,,,,,
2,24,1.2,2,0,,,,,,,,,
2,25,1.6,2,0,,,,,,,,,
2,26,16.6,1,0,,,,,,,,,
2,27,0.8,1,0,,,,,,,,,
2,28,0.8,1,0,,,,,,,,,
2,29,0.8,1,0,,,,,,,,,
2,30,0.8,0,0,,,,,,,,,
2,31,0.8,1,0,,,,,,,,,
2,32,0.8,1,0,,,,,,,,,
2,33,0.8,1,0,,,,,,,,,
2,34,0.8,1,0,,,,,,,,,
2,35,0.8,1,0,,,,,,,,,
2,36,0.8,1,0,,,,,,,,,
2,37,0.8,1,0,,,,,,,,,
2,0,26.1,0,1,,,,,,,,,
2,1,1.8,0,1,,,,,,,,,
2,2,1.7,0,1,,,,,,,,,
2,3,2.2,0,1,,,,,,,,,
2,4,1.6,2,1,,,,,,,,,
2,5,2.2,2,1,,,,,,,,,
2,6,1.6,2,1,,,,,,,,,
2,7,1.8,2,1,,,,,,,,,
2,8,1.7,2,1,,,,,,,,,
2,9,2.2,2,1,,,,,,,,,
2,10,1.6,2,1,,,,,,,,,
2,11,10.6,0,1,,,,,,,,,
2,12,1.6,0,1,,,,,,,,,
2,13,1.2,0,1,,,,,,,,,
