wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star
0,0,0,3,2,1700,1,20,20,,18,10
0,1,1,3,2,,,,,,,
0,2,1,3,2,,,,,,,
0,3,4,3,2,,,,,,,
0,4,1,3,2,,,,,,,
0,5,1,10,2,,,,,,,
0,6,2,11,2,,,,,,,
0,7,2,11,2,,,,,,,
0,8,2,12,2,,,,,,,
0,9,4,4,2,,,,,,,
0,10,1,4,2,,,,,,,
0,11,1,4,2,,,,,,,
0,12,1,3,2,,,,,,,
0,13,2.8,4,2,,,,,,,
0,14,0.7,4,2,,,,,,,
0,15,0.7,4,2,,,,,,,
0,16,1.7,4,2,,,,,,,
0,17,1,6,2,,,,,,,
0,18,3,4,2,,,,,,,
0,19,1,6,2,,,,,,,
0,20,3,4,2,,,,,,,
0,21,1,6,2,,,,,,,
0,0,3,10,1,,,,,,,
0,1,1,10,1,,,,,,,
0,2,1,10,1,,,,,,,
0,3,4,11,1,,,,,,,
0,4,2,12,1,,,,,,,
0,5,2,12,1,,,,,,,
0,6,2,6,1,,,,,,,
0,7,1,6,1,,,,,,,
0,8,1,6,1,,,,,,,
0,9,4.7,6,1,,,,,,,
0,10,0.7,6,1,,,,,,,
0,11,0.7,6,1,,,,,,,
0,12,2.8,6,1,,,,,,,
0,13,3,4,1,,,,,,,
0,14,1,6,1,,,,,,,
0,15,3,4,1,,,,,,,
0,16,1,6,1,,,,,,,
0,17,3,4,1,,,,,,,
0,18,1,6,1,,,,,,,
0,19,1,4,1,,,,,,,
0,0,38.9,7,3,,,,,,,
0,1,1,7,3,,,,,,,
0,2,1,7,3,,,,,,,
0,3,1,7,3,,,,,,,
0,4,1,7,3,,,,,,,
0,5,1,7,3,,,,,,,
0,6,1,7,3,,,,,,,
0,7,1,7,3,,,,,,,
0,8,1,7,3,,,,,,,
0,9,1,7,3,,,,,,,
0,0,49.9,11,0,,,,,,,
0,1,2,12,0,,,,,,,
0,2,2,11,0,,,,,,,
0,3,2,12,0,,,,,,,
0,4,2,11,0,,,,,,,
0,5,2,12,0,,,,,,,
1,0,0,3,0,,,,,,,
1,1,1,3,0,,,,,,,
1,2,1.2,10,0,,,,,,,
1,3,1.2,10,0,,,,,,,
1,4,1.2,3,0,,,,,,,
1,5,1.2,3,0,,,,,,,
1,6,1.2,10,0,,,,,,,
1,7,1.2,10,0,,,,,,,
1,8,1.2,3,0,,,,,,,
1,9,1.2,3,0,,,,,,,
1,10,27.1,11,0,,,,,,,
1,11,1.1,11,0,,,,,,,
1,12,1.1,11,0,,,,,,,
1,13,1.1,11,0,,,,,,,
1,14,1.1,11,0,,,,,,,
1,15,1.1,11,0,,,,,,,
1,0,11.4,7,3,,,,,,,
1,1,0.8,7,3,,,,,,,
1,2,0.8,7,3,,,,,,,
1,3,0.8,7,3,,,,,,,
1,4,0.8,7,3,,,,,,,
1,5,0.8,7,3,,,,,,,
1,6,0.8,7,3,,,,,,,
1,7,0.8,7,3,,,,,,,
1,8,0.8,7,3,,,,,,,
1,9,0.8,7,3,,,,,,,
1,10,0.8,7,3,,,,,,,
1,11,0.8,7,3,,,,,,,
1,12,0.8,7,3,,,,,,,
1,13,0.8,7,3,,,,,,,
1,14,0.8,7,3,,,,,,,
1,15,0.8,7,3,,,,,,,
1,16,5.8,12,3,,,,,,,
1,17,2,12,3,,,,,,,
1,18,2,12,3,,,,,,,
1,19,1,11,3,,,,,,,
1,20,0,4,3,,,,,,,
1,21,0.5,4,3,,,,,,,
1,22,0.5,4,3,,,,,,,
1,23,0.5,6,3,,,,,,,
1,24,0.5,6,3,,,,,,,
1,25,0.5,6,3,,,,,,,
1,26,0.5,6,3,,,,,,,
1,0,23.4,7,1,,,,,,,
1,1,1.2,7,1,,,,,,,
1,2,1.2,7,1,,,,,,,
1,3,1.2,7,1,,,,,,,
1,4,1.2,7,1,,,,,,,
1,5,15,4,1,,,,,,,
1,6,1,4,1,,,,,,,
1,7,1,4,1,,,,,,,
1,8,1,4,1,,,,,,,
1,9,1,4,1,,,,,,,
1,0,24,7,2,,,,,,,
1,1,1.2,7,2,,,,,,,
1,2,1.2,7,2,,,,,,,
1,3,1.2,7,2,,,,,,,
1,4,0.6,11,2,,,,,,,
1,5,2,11,2,,,,,,,
1,6,2,11,2,,,,,,,
2,0,0,3,0,,,,,,,
2,1,1.1,11,0,,,,,,,
2,2,1.1,3,0,,,,,,,
2,3,1.1,12,0,,,,,,,
2,4,1.1,3,0,,,,,,,
2,5,1.1,11,0,,,,,,,
2,6,1.1,3,0,,,,,,,
2,7,1.1,12,0,,,,,,,
2,8,1.1,3,0,,,,,,,
2,9,1.1,12,0,,,,,,,
2,10,1.1,3,0,,,,,,,
2,11,23.4,3,0,,,,,,,
2,12,1.2,10,0,,,,,,,
2,13,1.2,10,0,,,,,,,
2,14,1.2,3,0,,,,,,,
2,15,1.2,7,0,,,,,,,
2,16,1.2,7,0,,,,,,,
2,17,1.2,7,0,,,,,,,
2,18,1.2,7,0,,,,,,,
2,19,0.6,11,0,,,,,,,
2,20,1.2,11,0,,,,,,,
2,21,1.2,12,0,,,,,,,
2,22,1.2,12,0,,,,,,,
2,23,1.2,11,0,,,,,,,
2,0,11,12,1,,,,,,,
2,1,1.1,12,1,,,,,,,
2,2,1.2,12,1,,,,,,,
2,3,1.1,12,1,,,,,,,
2,4,1.1,12,1,,,,,,,
2,5,1.3,12,1,,,,,,,
2,6,1.1,11,1,,,,,,,
2,7,0.9,11,1,,,,,,,
2,8,1.1,11,1,,,,,,,
2,9,1.1,11,1,,,,,,,
2,10,0.8,11,1,,,,,,,
2,11,1.1,11,1,,,,,,,
2,12,1.1,11,1,,,,,,,
2,13,9.8,3,1,,,,,,,
2,14,1.2,3,1,,,,,,,
2,15,1.2,10,1,,,,,,,
2,16,1.2,3,1,,,,,,,
2,17,1.2,7,1,,,,,,,
2,18,1.2,7,1,,,,,,,
2,19,1.2,7,1,,,,,,,
2,20,1.2,7,1,,,,,,,
2,21,0.6,11,1,,,,,,,
2,22,1.2,11,1,,,,,,,
2,23,1.2,12,1,,,,,,,
2,24,1.2,12,1,,,,,,,
2,25,1.2,12,1,,,,,,,
2,26,1.2,11,1,,,,,,,
2,0,24,4,2,,,,,,,
2,1,1.4,4,2,,,,,,,
2,2,1.4,4,2,,,,,,,
2,3,1.4,4,2,,,,,,,
2,4,1.4,6,2,,,,,,,
2,5,1.4,4,2,,,,,,,
2,6,1.4,6,2,,,,,,,
2,7,1.4,4,2,,,,,,,
2,0,24.7,6,3,,,,,,,
2,1,1.4,6,3,,,,,,,
2,2,1.4,4,3,,,,,,,
2,3,1.4,6,3,,,,,,,
2,4,1.4,6,3,,,,,,,
2,5,1.4,4,3,,,,,,,
2,6,1.4,6,3,,,,,,,
3,0,1,3,0,,,,,,,
3,1,1,7,0,,,,,,,
3,2,1,7,0,,,,,,,
3,3,1,3,0,,,,,,,
3,4,1,7,0,,,,,,,
3,5,1,7,0,,,,,,,
3,6,1,3,0,,,,,,,
3,7,1,7,0,,,,,,,
3,8,1,7,0,,,,,,,
3,9,1,3,0,,,,,,,
3,10,1,7,0,,,,,,,
3,11,1,7,0,,,,,,,
3,12,1,3,0,,,,,,,
3,13,1,7,0,,,,,,,
3,14,1,7,0,,,,,,,
3,15,1,3,0,,,,,,,
3,16,11.2,12,0,,,,,,,
3,17,3.3,10,0,,,,,,,
3,18,1.1,10,0,,,,,,,
3,19,2.2,11,0,,,,,,,
3,20,2.2,11,0,,,,,,,
3,21,1.1,10,0,,,,,,,
3,22,1.1,10,0,,,,,,,
3,0,16,3,2,,,,,,,
3,1,1.4,3,2,,,,,,,
3,2,1.4,3,2,,,,,,,
3,3,1.4,3,2,,,,,,,
3,4,1.4,10,2,,,,,,,
3,5,1.4,10,2,,,,,,,
3,6,1.4,10,2,,,,,,,
3,7,1.4,10,2,,,,,,,
3,8,1.4,3,2,,,,,,,
3,9,11,10,2,,,,,,,
3,10,1.8,12,2,,,,,,,
3,11,2.7,3,2,,,,,,,
3,12,0.9,3,2,,,,,,,
3,13,2.7,12,2,,,,,,,
3,14,1,12,2,,,,,,,
3,15,2,12,2,,,,,,,
3,16,2,11,2,,,,,,,
3,17,2,12,2,,,,,,,
3,18,1,3,2,,,,,,,
3,19,1.2,3,2,,,,,,,
3,20,0.6,11,2,,,,,,,
3,21,0.6,3,2,,,,,,,
3,22,0.6,3,2,,,,,,,
3,23,0.6,12,2,,,,,,,
3,24,0.6,3,2,,,,,,,
3,25,0.6,3,2,,,,,,,
3,26,0,12,2,,,,,,,
3,27,0.6,11,2,,,,,,,
3,0,16.7,4,3,,,,,,,
3,1,1.4,6,3,,,,,,,
3,2,1.4,6,3,,,,,,,
3,3,1.4,4,3,,,,,,,
3,4,1.4,6,3,,,,,,,
3,5,1.4,6,3,,,,,,,
3,6,1.4,6,3,,,,,,,
3,7,1.4,4,3,,,,,,,
3,8,12.6,11,3,,,,,,,
3,9,1.8,11,3,,,,,,,
3,10,0.9,3,3,,,,,,,
3,11,2.7,12,3,,,,,,,
3,12,0.9,11,3,,,,,,,
3,13,9.5,3,3,,,,,,,
3,14,0.6,11,3,,,,,,,
3,15,0.6,11,3,,,,,,,
3,16,0.6,3,3,,,,,,,
3,17,0.6,12,3,,,,,,,
3,18,0.6,12,3,,,,,,,
3,19,0.6,3,3,,,,,,,
3,20,1.2,12,3,,,,,,,
3,21,0.6,11,3,,,,,,,
3,0,28.3,11,1,,,,,,,
3,1,1.1,12,1,,,,,,,
3,2,3.3,10,1,,,,,,,
3,3,2.2,11,1,,,,,,,
3,4,11.4,11,1,,,,,,,
3,5,2,12,1,,,,,,,
3,6,2,11,1,,,,,,,
3,7,2,12,1,,,,,,,
3,8,2,11,1,,,,,,,
4,0,0,4,2,,,,,,,
