wave,no,time,enemy_id,gate,lane,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,limit_total_wave
0,0,0,24,1,0,3100,1,20,20,,18,10,10
0,1,0.5,0,1,0,,,,,,,,
0,2,0,0,1,1,,,,,,,,
0,3,0,0,1,2,,,,,,,,
0,4,0.8,0,1,0,,,,,,,,
0,5,0,0,1,1,,,,,,,,
0,6,0,0,1,2,,,,,,,,
0,7,8,24,1,0,,,,,,,,
0,8,0.5,0,1,0,,,,,,,,
0,9,0,0,1,1,,,,,,,,
0,10,0,0,1,2,,,,,,,,
0,11,0.8,0,1,0,,,,,,,,
0,12,0,0,1,1,,,,,,,,
0,13,0,0,1,2,,,,,,,,
0,14,8,24,1,0,,,,,,,,
0,15,0.5,0,1,0,,,,,,,,
0,16,0,0,1,1,,,,,,,,
0,17,0,0,1,2,,,,,,,,
0,18,0.8,0,1,0,,,,,,,,
0,19,0,0,1,1,,,,,,,,
0,20,0,0,1,2,,,,,,,,
0,21,8,24,1,0,,,,,,,,
0,22,0.5,0,1,0,,,,,,,,
0,23,0,0,1,1,,,,,,,,
0,24,0,0,1,2,,,,,,,,
0,25,0.8,0,1,0,,,,,,,,
0,26,0,0,1,1,,,,,,,,
0,27,0,0,1,2,,,,,,,,
0,28,3,24,1,0,,,,,,,,
0,29,0,24,1,1,,,,,,,,
0,30,0,24,1,2,,,,,,,,
0,31,5,24,1,0,,,,,,,,
0,32,0.5,0,1,0,,,,,,,,
0,33,0,0,1,1,,,,,,,,
0,34,0,0,1,2,,,,,,,,
0,35,0.8,0,1,0,,,,,,,,
0,36,0,0,1,1,,,,,,,,
0,37,0,0,1,2,,,,,,,,
0,0,0,23,4,0,,,,,,,,
0,1,0.5,1,4,0,,,,,,,,
0,2,0,1,4,1,,,,,,,,
0,3,0,1,4,2,,,,,,,,
0,4,0.8,1,4,0,,,,,,,,
0,5,0,1,4,1,,,,,,,,
0,6,0,1,4,2,,,,,,,,
0,7,8,23,4,0,,,,,,,,
0,8,0.5,1,4,0,,,,,,,,
0,9,0,1,4,1,,,,,,,,
0,10,0,1,4,2,,,,,,,,
0,11,0.8,1,4,0,,,,,,,,
0,12,0,1,4,1,,,,,,,,
0,13,0,1,4,2,,,,,,,,
0,14,8,23,4,0,,,,,,,,
0,15,0.5,1,4,0,,,,,,,,
0,16,0,1,4,1,,,,,,,,
0,17,0,1,4,2,,,,,,,,
0,18,0.8,1,4,0,,,,,,,,
0,19,0,1,4,1,,,,,,,,
0,20,0,1,4,2,,,,,,,,
0,21,8,23,4,0,,,,,,,,
0,22,0.5,1,4,0,,,,,,,,
0,23,0,1,4,1,,,,,,,,
0,24,0,1,4,2,,,,,,,,
0,25,0.8,1,4,0,,,,,,,,
0,26,0,1,4,1,,,,,,,,
0,27,0,1,4,2,,,,,,,,
0,28,3,23,4,0,,,,,,,,
0,29,0,23,4,1,,,,,,,,
0,30,0,23,4,2,,,,,,,,
0,31,5,23,4,0,,,,,,,,
0,32,0.5,1,4,0,,,,,,,,
0,33,0,1,4,1,,,,,,,,
0,34,0,1,4,2,,,,,,,,
0,35,0.8,1,4,0,,,,,,,,
0,36,0,1,4,1,,,,,,,,
0,37,0,1,4,2,,,,,,,,
0,0,6,32,2,1,,,,,,,,
0,1,3.5,32,2,2,,,,,,,,
0,2,3.5,32,2,1,,,,,,,,
0,3,3.5,32,2,2,,,,,,,,
0,4,3.5,32,2,1,,,,,,,,
0,5,3.5,32,2,2,,,,,,,,
0,6,3.5,32,2,1,,,,,,,,
0,7,3,32,2,2,,,,,,,,
0,8,2,32,2,1,,,,,,,,
0,9,2,32,2,2,,,,,,,,
0,0,6,32,3,1,,,,,,,,
0,1,3.5,32,3,2,,,,,,,,
0,2,3.5,32,3,1,,,,,,,,
0,3,3.5,32,3,2,,,,,,,,
0,4,3.5,32,3,1,,,,,,,,
0,5,3.5,32,3,2,,,,,,,,
0,6,3,32,3,1,,,,,,,,
0,7,2,32,3,2,,,,,,,,
1,0,5,29,0,1,,,,,,,,
1,1,5,29,0,2,,,,,,,,
1,2,5,29,0,1,,,,,,,,
1,3,5,29,0,2,,,,,,,,
1,4,5,29,0,1,,,,,,,,
1,5,5,29,0,2,,,,,,,,
1,6,5,29,0,1,,,,,,,,
1,0,0,3,1,1,,,,,,,,
1,1,0,3,1,0,,,,,,,,
1,2,2,32,1,2,,,,,,,,
1,3,0,32,1,0,,,,,,,,
1,4,3,3,1,1,,,,,,,,
1,5,0,3,1,0,,,,,,,,
1,6,2,32,1,2,,,,,,,,
1,7,0,32,1,0,,,,,,,,
1,8,2,3,1,1,,,,,,,,
1,9,0,3,1,0,,,,,,,,
1,10,3,32,1,2,,,,,,,,
1,11,0,32,1,0,,,,,,,,
1,0,8,23,2,1,,,,,,,,
1,1,0,23,2,0,,,,,,,,
1,2,3.5,23,2,2,,,,,,,,
1,3,0,23,2,0,,,,,,,,
1,4,3.5,24,2,1,,,,,,,,
1,5,0,24,2,0,,,,,,,,
1,6,3.5,24,2,2,,,,,,,,
1,7,0,24,2,0,,,,,,,,
1,8,3.5,24,2,1,,,,,,,,
1,9,0,24,2,0,,,,,,,,
1,10,3.5,24,2,2,,,,,,,,
1,11,0,24,2,0,,,,,,,,
1,12,3.5,24,2,1,,,,,,,,
1,13,0,24,2,0,,,,,,,,
1,0,0,3,4,1,,,,,,,,
1,1,0,3,4,0,,,,,,,,
1,2,2,32,4,2,,,,,,,,
1,3,0,32,4,0,,,,,,,,
1,4,3,3,4,1,,,,,,,,
1,5,0,3,4,0,,,,,,,,
1,6,2,32,4,2,,,,,,,,
1,7,0,32,4,0,,,,,,,,
1,8,2,3,4,1,,,,,,,,
1,9,0,3,4,0,,,,,,,,
1,10,3,32,4,2,,,,,,,,
1,11,0,32,4,0,,,,,,,,
1,0,8,24,3,1,,,,,,,,
1,1,0,24,3,0,,,,,,,,
1,2,3.5,24,3,2,,,,,,,,
1,3,0,24,3,0,,,,,,,,
1,4,3.5,23,3,1,,,,,,,,
1,5,0,23,3,0,,,,,,,,
1,6,3.5,23,3,1,,,,,,,,
1,7,0,23,3,0,,,,,,,,
1,8,3.5,23,3,2,,,,,,,,
1,9,0,23,3,0,,,,,,,,
1,10,3.5,23,3,1,,,,,,,,
1,11,0,23,3,0,,,,,,,,
1,12,3.5,23,3,2,,,,,,,,
1,13,0,23,3,0,,,,,,,,
2,0,0,24,2,1,,,,,,,,
2,1,0,24,2,0,,,,,,,,
2,2,4,24,2,1,,,,,,,,
2,3,0,24,2,0,,,,,,,,
2,4,4,24,2,1,,,,,,,,
2,5,0,24,2,0,,,,,,,,
2,6,4,24,2,1,,,,,,,,
2,7,0,24,2,0,,,,,,,,
2,8,4,24,2,1,,,,,,,,
2,9,0,24,2,0,,,,,,,,
2,10,4,24,2,1,,,,,,,,
2,11,0,24,2,0,,,,,,,,
2,0,2.5,23,1,2,,,,,,,,
2,1,0,23,1,0,,,,,,,,
2,2,4,23,1,2,,,,,,,,
2,3,0,23,1,0,,,,,,,,
2,4,4,23,1,2,,,,,,,,
2,5,0,23,1,0,,,,,,,,
2,6,4,23,1,2,,,,,,,,
2,7,0,23,1,0,,,,,,,,
2,8,4,23,1,2,,,,,,,,
2,9,0,23,1,0,,,,,,,,
2,10,4,23,1,2,,,,,,,,
2,11,0,23,1,0,,,,,,,,
2,0,10,26,3,1,,,,,,,,
2,1,0,26,3,0,,,,,,,,
2,2,3,26,3,1,,,,,,,,
2,3,0,26,3,0,,,,,,,,
2,4,4,32,3,2,,,,,,,,
2,5,0,32,3,0,,,,,,,,
2,6,3,26,3,1,,,,,,,,
2,7,0,26,3,0,,,,,,,,
2,8,3,26,3,1,,,,,,,,
2,9,0,26,3,0,,,,,,,,
2,10,4,32,3,2,,,,,,,,
2,11,0,32,3,0,,,,,,,,
2,12,3,26,3,1,,,,,,,,
2,13,0,26,3,0,,,,,,,,
2,14,3,26,3,1,,,,,,,,
2,15,0,26,3,0,,,,,,,,
2,16,3,32,3,2,,,,,,,,
2,17,0,32,3,0,,,,,,,,
2,18,3,26,3,1,,,,,,,,
2,19,0,26,3,0,,,,,,,,
2,20,3,26,3,1,,,,,,,,
2,21,0,26,3,0,,,,,,,,
2,22,3,32,3,2,,,,,,,,
2,23,0,32,3,0,,,,,,,,
2,0,10,3,4,0,,,,,,,,
2,1,0,3,4,1,,,,,,,,
2,2,0,3,4,2,,,,,,,,
2,3,5,32,4,0,,,,,,,,
2,4,0,32,4,1,,,,,,,,
2,5,0,32,4,2,,,,,,,,
2,6,5,3,4,0,,,,,,,,
2,7,0,3,4,1,,,,,,,,
2,8,0,3,4,2,,,,,,,,
2,9,5,32,4,0,,,,,,,,
2,10,0,32,4,1,,,,,,,,
2,11,0,32,4,2,,,,,,,,
2,12,5,3,4,0,,,,,,,,
2,13,0,3,4,1,,,,,,,,
2,14,0,3,4,2,,,,,,,,
3,0,0,26,3,1,,,,,,,,
3,1,0,26,3,0,,,,,,,,
3,2,3,26,3,1,,,,,,,,
3,3,0,26,3,0,,,,,,,,
3,4,3,32,3,2,,,,,,,,
3,5,0,32,3,0,,,,,,,,
3,6,6,26,3,1,,,,,,,,
3,7,0,26,3,0,,,,,,,,
3,8,3,26,3,1,,,,,,,,
3,9,0,26,3,0,,,,,,,,
3,10,3,32,3,2,,,,,,,,
3,11,0,32,3,0,,,,,,,,
3,12,6,26,3,1,,,,,,,,
3,13,0,26,3,0,,,,,,,,
3,14,3,26,3,1,,,,,,,,
3,15,0,26,3,0,,,,,,,,
3,16,3,32,3,2,,,,,,,,
3,17,0,32,3,0,,,,,,,,
3,0,8,23,4,0,,,,,,,,
3,1,0.5,3,4,0,,,,,,,,
3,2,0,3,4,1,,,,,,,,
3,3,0,3,4,2,,,,,,,,
3,4,1.5,32,4,0,,,,,,,,
3,5,0,32,4,1,,,,,,,,
3,6,0,32,4,2,,,,,,,,
3,7,12,23,4,0,,,,,,,,
3,8,0.5,3,4,0,,,,,,,,
3,9,0,3,4,1,,,,,,,,
3,10,0,3,4,2,,,,,,,,
3,11,1.5,32,4,0,,,,,,,,
3,12,0,32,4,1,,,,,,,,
3,13,0,32,4,2,,,,,,,,
3,14,6,23,4,0,,,,,,,,
3,15,0.5,3,4,0,,,,,,,,
3,16,0,3,4,1,,,,,,,,
3,17,0,3,4,2,,,,,,,,
3,18,1.5,32,4,0,,,,,,,,
3,19,0,32,4,1,,,,,,,,
3,20,0,32,4,2,,,,,,,,
3,0,0,27,2,1,,,,,,,,
3,1,0,27,2,0,,,,,,,,
3,2,3,27,2,1,,,,,,,,
3,3,0,27,2,0,,,,,,,,
3,4,3,32,2,2,,,,,,,,
3,5,0,32,2,0,,,,,,,,
3,6,6,27,2,1,,,,,,,,
3,7,0,27,2,0,,,,,,,,
3,8,3,27,2,1,,,,,,,,
3,9,0,27,2,0,,,,,,,,
3,10,3,32,2,2,,,,,,,,
3,11,0,32,2,0,,,,,,,,
3,12,3,32,2,2,,,,,,,,
3,13,0,32,2,0,,,,,,,,
3,0,8,24,1,0,,,,,,,,
3,1,0.5,3,1,0,,,,,,,,
3,2,0,3,1,1,,,,,,,,
3,3,0,3,1,2,,,,,,,,
3,4,1.5,32,1,0,,,,,,,,
3,5,0,32,1,1,,,,,,,,
3,6,0,32,1,2,,,,,,,,
3,7,12,24,1,0,,,,,,,,
3,8,0.5,3,1,0,,,,,,,,
3,9,0,3,1,1,,,,,,,,
3,10,0,3,1,2,,,,,,,,
3,11,1.5,32,1,0,,,,,,,,
3,12,0,32,1,1,,,,,,,,
3,13,0,32,1,2,,,,,,,,
3,14,6,24,1,0,,,,,,,,
3,15,0.5,3,1,0,,,,,,,,
3,16,0,3,1,1,,,,,,,,
3,17,0,3,1,2,,,,,,,,
3,18,1.5,32,1,0,,,,,,,,
3,19,0,32,1,1,,,,,,,,
3,20,0,32,1,2,,,,,,,,
4,0,0,28,0,0,,,,,,,,
4,1,0.5,32,0,0,,,,,,,,
4,2,0,32,0,1,,,,,,,,
4,3,0,32,0,2,,,,,,,,
4,4,0.8,32,0,0,,,,,,,,
4,5,0,32,0,1,,,,,,,,
4,6,0,32,0,2,,,,,,,,
4,7,5,28,0,0,,,,,,,,
4,8,0.5,32,0,0,,,,,,,,
4,9,0,32,0,1,,,,,,,,
4,10,0,32,0,2,,,,,,,,
4,0,0,24,4,-1,,,,,,,,
4,1,1.4,24,4,-1,,,,,,,,
4,2,1.6,24,4,-1,,,,,,,,
4,3,1.7,24,4,-1,,,,,,,,
4,4,1.4,24,4,-1,,,,,,,,
4,5,1.6,24,4,-1,,,,,,,,
4,6,1.6,24,4,-1,,,,,,,,
4,7,1.6,24,4,-1,,,,,,,,
4,8,1.6,24,4,-1,,,,,,,,
4,9,1.3,24,4,-1,,,,,,,,
4,10,1.3,24,4,-1,,,,,,,,
4,11,1.3,24,4,-1,,,,,,,,
4,0,12,23,1,-1,,,,,,,,
4,1,1.7,23,1,-1,,,,,,,,
4,2,1.8,23,1,-1,,,,,,,,
4,3,1.6,23,1,-1,,,,,,,,
4,4,1.7,23,1,-1,,,,,,,,
4,5,1.5,23,1,-1,,,,,,,,
4,6,1.3,23,1,-1,,,,,,,,
4,7,1.3,23,1,-1,,,,,,,,
4,8,1.3,23,1,-1,,,,,,,,
4,9,1.3,23,1,-1,,,,,,,,
4,10,1.3,23,1,-1,,,,,,,,
4,11,1.3,23,1,-1,,,,,,,,
4,0,0,26,2,0,,,,,,,,
4,1,0,26,2,1,,,,,,,,
4,2,0,26,2,2,,,,,,,,
4,3,1,32,2,0,,,,,,,,
4,4,0,32,2,1,,,,,,,,
4,5,0,32,2,2,,,,,,,,
4,6,1,26,2,0,,,,,,,,
4,7,0,26,2,1,,,,,,,,
4,8,0,26,2,2,,,,,,,,
4,9,1,32,2,0,,,,,,,,
4,10,0,32,2,1,,,,,,,,
4,11,0,32,2,2,,,,,,,,
4,12,1,26,2,0,,,,,,,,
4,13,0,26,2,1,,,,,,,,
4,14,0,26,2,2,,,,,,,,
4,15,1,32,2,0,,,,,,,,
4,16,0,32,2,1,,,,,,,,
4,17,0,32,2,2,,,,,,,,
4,18,1,26,2,0,,,,,,,,
4,19,0,26,2,1,,,,,,,,
4,20,0,26,2,2,,,,,,,,
4,0,15,27,3,0,,,,,,,,
4,1,0,27,3,1,,,,,,,,
4,2,0,27,3,2,,,,,,,,
4,3,1,32,3,0,,,,,,,,
4,4,0,32,3,1,,,,,,,,
4,5,0,32,3,2,,,,,,,,
4,6,1,27,3,0,,,,,,,,
4,7,0,27,3,1,,,,,,,,
4,8,0,27,3,2,,,,,,,,
4,9,1,32,3,0,,,,,,,,
4,10,0,32,3,1,,,,,,,,
4,11,0,32,3,2,,,,,,,,
4,12,1,27,3,0,,,,,,,,
4,13,0,27,3,1,,,,,,,,
4,14,0,27,3,2,,,,,,,,
4,15,1,32,3,0,,,,,,,,
4,16,0,32,3,1,,,,,,,,
4,17,0,32,3,2,,,,,,,,
4,18,1,27,3,0,,,,,,,,
4,19,0,27,3,1,,,,,,,,
4,20,0,27,3,2,,,,,,,,
5,0,15,29,1,-1,,,,,,,,
5,1,3.5,29,1,-1,,,,,,,,
5,2,3.5,29,1,-1,,,,,,,,
5,3,3.5,29,1,-1,,,,,,,,
5,4,3.5,29,1,-1,,,,,,,,
5,5,3.5,29,1,-1,,,,,,,,
5,6,3.5,29,1,-1,,,,,,,,
5,7,3.5,29,1,-1,,,,,,,,
5,8,3.5,29,1,-1,,,,,,,,
5,9,3.5,29,1,-1,,,,,,,,
5,10,3.5,29,1,-1,,,,,,,,
5,11,3.5,29,1,-1,,,,,,,,
5,0,15,29,4,-1,,,,,,,,
5,1,3.5,29,4,-1,,,,,,,,
5,2,3.5,29,4,-1,,,,,,,,
5,3,3.5,29,4,-1,,,,,,,,
5,4,3.5,29,4,-1,,,,,,,,
5,5,3.5,29,4,-1,,,,,,,,
5,6,3.5,29,4,-1,,,,,,,,
5,7,3.5,29,4,-1,,,,,,,,
5,8,3.5,29,4,-1,,,,,,,,
5,9,3.5,29,4,-1,,,,,,,,
5,10,3.5,29,4,-1,,,,,,,,
5,11,3.5,29,4,-1,,,,,,,,
5,0,5,32,5,1,,,,,,,,
5,1,0,32,5,2,,,,,,,,
5,2,0.8,28,5,0,,,,,,,,
5,3,2,32,5,1,,,,,,,,
5,4,0,32,5,2,,,,,,,,
5,5,0.8,28,5,0,,,,,,,,
5,6,2,32,5,1,,,,,,,,
5,7,0,32,5,2,,,,,,,,
5,8,0.8,28,5,0,,,,,,,,
5,9,2,32,5,1,,,,,,,,
5,10,0,32,5,2,,,,,,,,
5,11,0.8,28,5,0,,,,,,,,
5,12,2,32,5,1,,,,,,,,
5,13,0,32,5,2,,,,,,,,
5,14,0.8,28,5,0,,,,,,,,
5,0,3,32,0,1,,,,,,,,
5,1,0,32,0,2,,,,,,,,
5,2,0.8,28,0,0,,,,,,,,
5,3,2,32,0,1,,,,,,,,
5,4,0,32,0,2,,,,,,,,
5,5,0.8,28,0,0,,,,,,,,
5,6,2,32,0,1,,,,,,,,
5,7,0,32,0,2,,,,,,,,
5,8,0.8,28,0,0,,,,,,,,
5,9,2,32,0,1,,,,,,,,
5,10,0,32,0,2,,,,,,,,
5,11,0.8,28,0,0,,,,,,,,
5,12,2,32,0,1,,,,,,,,
5,13,0,32,0,2,,,,,,,,
5,14,0.8,28,0,0,,,,,,,,
5,0,3,27,2,1,,,,,,,,
5,1,0,27,2,0,,,,,,,,
5,2,4,27,2,2,,,,,,,,
5,3,0,27,2,0,,,,,,,,
5,4,4,27,2,1,,,,,,,,
5,5,0,27,2,0,,,,,,,,
5,6,4,27,2,2,,,,,,,,
5,7,0,27,2,0,,,,,,,,
5,8,4,27,2,1,,,,,,,,
5,9,0,27,2,0,,,,,,,,
5,10,4,27,2,2,,,,,,,,
