item_id,id,product_id,price,price_previous,type,quantity,consumable,vip_point,limit_total_number,spent_type,spent_quantity,item_type
0,0,com.zitga.empire.warriors.td.tower.defense_xmas_19.99,19.99,59.99,0,10000,1,0,5,0,0,93
0,0,,,,9,2000,1,0,1,0,0,93
0,0,,,,38,2000,1,0,1,0,0,93
0,0,,,,48,4,1,0,1,0,0,93
0,0,,,,23,200,1,0,1,0,0,93
1,0,com.zitga.empire.warriors.td.tower.defense_xmas_9.99,9.99,24.99,0,5000,1,0,3,0,0,93
1,0,,,,9,10000,1,0,1,0,0,93
1,0,,,,38,1000,1,0,1,0,0,93
1,0,,,,48,2,1,0,1,0,0,93
1,0,,,,23,100,1,0,1,0,0,93
