item_id,id,description,type,loop,target,victim,order,count,reward
0,0,,KILL,0,ENEMY,11,0,500,0_45_38
1,0,,KILL,0,ENEMY,12,0,500,0_45_38
2,0,,KILL,0,ENEMY,13,0,3,0_45_38
3,0,,BUILD,0,MAGE_TOWER,5,0,20,0_45_38
4,0,,PLAY_VICTORY,0,MAP,10,0,1000,2_1_82
5,0,,PLAY_VICTORY,0,MAP,11,0,1000,2_1_82
6,0,,PLAY_VICTORY,0,MAP,12,0,1000,2_1_82
7,0,,PLAY_VICTORY,0,MAP,13,0,1000,2_1_82
8,0,,PLAY_VICTORY,0,MAP,14,0,1000,2_1_82
9,0,,PLAY_VICTORY,0,MAP_NIGHTMARE,10,0,1000,3_1_82
10,0,,PLAY_VICTORY,0,MAP_NIGHTMARE,11,0,1000,3_1_82
11,0,,PLAY_VICTORY,0,MAP_NIGHTMARE,12,0,1000,3_1_82
12,0,,PLAY_VICTORY,0,MAP_NIGHTMARE,13,0,1000,3_1_82
13,0,,PLAY_VICTORY,0,MAP_NIGHTMARE,14,0,1000,3_1_82
14,0,,PLAY_VICTORY,0,MAP_CHALLENGE,10,0,1000,4_1_82
15,0,,PLAY_VICTORY,0,MAP_CHALLENGE,11,0,1000,4_1_82
16,0,,PLAY_VICTORY,0,MAP_CHALLENGE,12,0,1000,4_1_82
17,0,,PLAY_VICTORY,0,MAP_CHALLENGE,13,0,1000,4_1_82
18,0,,PLAY_VICTORY,0,MAP_CHALLENGE,14,0,1000,4_1_82
