item_id,id,product_id,price,price_previous,type,quantity,consumable,vip_point,limit_total_number,item_type,name_bundle,profit,limit_item_select
0,0,,0,0,9,20,1,,1,106,event/customize_package_package_name_free,100,2
1,0,,0,0,9,40,1,,1,14,event/customize_package_ads_bundle,100,2
2,0,com.zitga.empire.warriors.td_bundle_customize_package_1,0.99,0,9,80,1,,1,106,event/customize_package_package_name,500,2
2,0,,,,23,10,,,,,,,
2,0,,,,48,1,,,,,,,
3,0,com.zitga.empire.warriors.td_bundle_customize_package_2,2.99,0,9,240,1,,1,106,event/customize_package_package_name,500,2
3,0,,,,23,30,,,,,,,
3,0,,,,48,1,,,,,,,
4,0,com.zitga.empire.warriors.td_bundle_customize_package_3,4.99,0,9,480,1,,1,106,event/customize_package_package_name,500,2
4,0,,,,23,50,,,,,,,
4,0,,,,48,1,,,,,,,
5,0,com.zitga.empire.warriors.td_bundle_customize_package_4,9.99,0,9,1200,1,,2,106,event/customize_package_package_name,500,2
5,0,,,,23,100,,,,,,,
5,0,,,,48,1,,,,,,,
