id,name,health,move_speed,attack_speed,armor,resistance,min_damage,max_damage,min_ranged_damage,max_ranged_damage,attack_range,crit_chance,crit_damage,gold_drop,life,gem_drop,chance_drop,exp,damage_type,ranged_damage_type
0,Grando swordman,60,0.8,2,38,10,4,8,0,0,0,0,100,4,1,2,2,1,0,0
1,Grando mage,50,0.8,2,5,50,1,3,6,12,1.7,0,100,4,1,2,2,1,1,1
2,Grando bow,45,0.8,1.5,18,30,1,3,5,7,2.2,0,100,4,1,2,2,1,0,0
3,Orc,200,0.7,1.2,70,18,12,19,0,0,0,0,100,10,1,3,2,1,0,0
4,Goblin fighter,76,1.4,1,34,12,11,17,0,0,0,0,100,7,1,2,2,1,0,0
5,Troll,500,0.5,2.2,70,20,32,48,0,0,0,0,100,16,1,5,2,2,0,0
6,Goblin bow,72,1.4,0.8,7,32,2,4,12,18,1.6,0,100,7,1,2,2,1,0,0
7,Warg,150,1.3,1.4,50,25,15,29,0,0,0,20,100,10,1,4,2,2,0,0
8,Warlock,7000,0.35,2.4,43,64,14,22,25,39,2.3,0,100,270,20,15,3,10,0,0
9,Moggun Bloodwolf,12000,0.35,1,100,80,40,40,0,0,0,40,100,360,20,20,3,20,0,0
10,Orc shaman,230,0.6,2,20,65,8,15,22,36,1.7,0,100,10,1,3,2,1,1,1
11,Ice Troll Smasher,500,0.6,1.9,40,57,35,44,0,0,0,0,100,15,1,5,2,2,0,0
12,Ice Troll Thrower,460,0.6,1.9,37,32,26,33,35,44,2,0,100,15,1,5,2,2,0,1
13,Marakk,18000,0.3,2,74,92,43,76,0,0,0,0,100,450,20,25,2,30,0,0
14,Darkwing,180,1.1,0,26,48,0,0,0,0,0,0,0,12,1,3,2,1,0,0
15,Warg Rider,370,1.15,1.2,68,31,18,26,20,28,1.7,20,100,11,1,5,2,2,0,0
16,Narazal,32000,0.4,2,92,106,750,750,666,999,2.3,0,100,720,20,30,2,40,1,1
17,Red Spider,280,1.2,1,62,18,16,23,0,0,0,0,100,11,1,3,2,3,0,0
18,Green Spider,320,1,1,15,67,10,31,0,0,0,0,100,12,1,3,2,3,1,1
19,Baby Spider,40,1.5,1,34,12,5,9,0,0,0,0,100,1,1,1,2,1,1,1
20,CorruptedEnt,2500,0.4,1.9,81,57,73,118,0,0,0,0,100,32,1,9,2,5,0,0
21,Arhtaneas,28000,0.5,0.9,130,59,101,145,0,0,0,0,100,540,20,35,2,35,0,1
22,Harpy,300,0.8,0,59,25,0,0,0,0,0,0,0,13,1,3,2,2,0,0
23,Corrupted Dryad,550,1,1.3,20,63,33,51,43,61,1.8,0,100,15,1,4,2,3,0,1
24,Corrupted Centaur,510,1,1,69,18,75,98,0,0,0,30,100,15,1,5,2,3,0,0
25,Elora,45000,0.5,1.3,100,150,522,650,708,819,4.2,0,100,720,20,40,3,45,0,1
26,Grando General,1200,0.8,2,88,90,112,141,0,0,0,0,100,16,1,5,2,3,0,0
27,Grando Dark Druid/Arcanist,700,0.8,1.5,55,112,40,62,55,70,2.2,0,100,16,1,5,2,3,0,1
28,Grando Sniper,640,1.2,1.2,80,62,39,56,42,59,2.8,20,100,16,1,5,2,3,0,0
29,Wyvern Rider,800,1,1,95,120,0,0,70,150,3,30,100,17,1,6,2,4,0,1
30,Narazal ver 2,55000,0.4,1.5,184,212,1125,1125,999,1499,3.5,0,100,910,20,45,3,50,1,1
31,Grando bow mama,45,1.2,1.5,18,30,1,3,5,7,2.2,0,100,5,1,2,2,1,0,0
32,Blood Orc,640,1.1,0.5,35,27,48,76,0,0,0,20,100,16,1,4,2,3,0,0
33,Julius,75000,0.35,1.2,200,240,610,820,0,0,0,70,100,4500,20,65,3,100,0,0
