id,name,health,move_speed,attack_speed,armor,resistance,min_damage,max_damage,min_ranged_damage,max_ranged_damage,attack_range,crit_chance,crit_damage,gold_drop,life,gem_drop,chance_drop,exp,damage_type,ranged_damage_type
0,Grando swordman,180,0.9,1.6,114,30,16,32,0,0,0,0,100,5,1,4,3,1,0,0
1,Grando mage,150,0.9,1.6,15,150,4,12,24,48,1.7,0,100,5,1,4,3,1,1,1
2,Grando bow,135,0.9,1.1,54,90,4,12,20,28,2.2,0,100,5,1,4,3,1,0,0
3,Orc,600,0.9,0.8,210,54,48,76,0,0,0,0,100,12,1,5,3,1,0,0
4,Goblin fighter,228,1.6,0.6,102,36,44,68,0,0,0,0,100,9,1,4,3,1,0,0
5,Troll,1500,0.7,1.8,210,60,128,192,0,0,0,0,100,20,1,7,3,2,0,0
6,Goblin bow,216,1.6,0.4,21,96,8,16,48,72,1.6,0,100,9,1,4,3,1,0,0
7,Warg,450,1.5,1,150,75,60,116,0,0,0,20,100,12,1,6,3,2,0,0
8,Warlock,21000,0.55,2,129,192,56,88,100,156,2.2,0,100,300,20,35,3,10,0,0
9,Moggun Bloodwolf,36000,0.55,0.6,300,240,160,160,0,0,0,40,200,400,20,45,3,20,0,0
10,Orc shaman,690,0.8,1.6,60,195,32,60,88,144,1.7,0,100,12,1,5,3,1,1,1
11,Ice Troll Smasher,1500,0.8,1.5,120,171,140,176,0,0,0,0,100,19,1,7,3,2,0,0
12,Ice Troll Thrower,1380,0.8,1.5,111,96,104,132,140,176,2,20,100,19,1,7,3,2,0,1
13,Marakk,54000,0.5,1.6,222,276,172,304,0,0,0,30,100,500,20,45,3,30,0,0
14,Darkwing,540,1.3,0,78,144,0,0,0,0,0,0,0,15,1,5,3,1,0,0
15,Warg Rider,1110,1.35,0.8,204,93,56,88,60,84,1.7,20,100,14,1,7,3,2,0,0
16,Narazal,96000,0.6,1.6,276,318,3000,3000,2664,3996,2.2,0,100,800,20,50,3,40,0,1
17,Red Spider,840,1.4,0.6,186,54,64,92,0,0,0,0,100,13,1,5,3,3,0,0
18,Green Spider,960,1.2,0.6,45,201,40,124,0,0,0,0,100,14,1,5,3,3,1,1
19,Baby Spider,120,1.7,0.6,102,36,20,36,0,0,0,0,100,2,1,3,3,1,1,1
20,CorruptedEnt,7500,0.6,1.5,243,171,292,472,0,0,0,50,100,40,1,11,3,5,0,0
21,Arhtaneas,84000,0.7,0.5,390,177,352,580,0,0,0,50,100,600,20,55,3,35,0,0
22,Harpy,900,1,0,177,75,0,0,0,0,0,0,0,17,1,5,3,2,0,0
23,Corrupted Dryad,1650,1.2,0.9,60,189,99,153,129,183,1.8,20,100,19,1,6,3,3,0,1
24,Corrupted Centaur,1530,1.2,0.6,207,54,225,294,0,0,0,50,100,19,1,7,3,3,0,0
25,Elora,135000,0.7,0.9,300,450,1566,1950,2124,2457,4.2,30,100,800,20,60,3,45,0,1
26,Grando General,3600,1,1.6,264,270,336,423,0,0,0,0,100,21,1,7,3,3,0,0
27,Grando Dark Druid/Arcanist,2100,1,1.1,165,336,120,186,165,210,2.2,0,100,21,1,7,3,3,0,1
28,Grando Sniper,1920,1.4,0.8,240,186,117,168,126,177,2.8,20,100,21,1,7,3,3,0,0
29,Wyvern Rider,2400,1.3,0.9,285,360,0,0,210,450,3,30,100,23,1,8,2,4,0,1
30,Narazal ver 2,165000,0.6,1.1,552,636,3375,3375,2997,4497,3.5,0,100,1000,20,65,3,50,1,1
31,Grando bow,135,1.4,1.1,54,90,4,12,20,28,2.2,0,100,5,1,4,3,1,0,0
32,Blood Orc,1920,1.1,0.5,105,81,144,228,0,0,0,20,100,20,1,6,3,3,0,0
33,Julius,225000,0.8,0.9,600,720,1830,2460,0,0,0,80,100,5000,20,85,3,150,0,0
