id,name,health,move_speed,attack_speed,armor,resistance,min_damage,max_damage,min_ranged_damage,max_ranged_damage,attack_range,crit_chance,crit_damage,gold_drop,life,gem_drop,chance_drop,exp,damage_type,ranged_damage_type
0,Grando swordman,90,0.9,1.7,57,15,6,12,0,0,0,0,100,4,1,3,3,1,0,0
1,Grando mage,75,0.9,1.7,7.5,75,2,6,9,16,1.7,0,100,4,1,3,3,1,1,1
2,Grando bow,68,0.9,1.2,27,45,2,6,8,11,2.2,0,100,4,1,3,3,1,0,0
3,Orc,300,0.9,0.9,105,27,12,23,0,0,0,0,100,10,1,4,2,2,0,0
4,Goblin fighter,114,1.6,0.7,51,18,17,26,0,0,0,0,100,7,1,3,2,1,0,0
5,Troll,750,0.7,1.9,105,30,48,72,0,0,0,0,100,16,1,6,3,3,0,0
6,Goblin bow,108,1.6,0.5,10.5,48,9,15,18,27,1.6,0,100,7,1,3,3,1,0,0
7,Warg,225,1.5,1.1,75,38,22,44,0,0,0,20,100,10,1,5,2,2,0,0
8,Warlock,10500,0.55,2.1,64.5,96,21,33,38,59,2.2,0,100,270,20,25,3,20,0,0
9,Moggun Bloodwolf,18000,0.55,0.7,150,120,60,60,0,0,0,40,100,360,20,30,3,40,0,0
10,Orc shaman,345,0.8,1.7,30,97.5,12,23,33,54,1.7,0,100,10,1,4,3,2,1,1
11,Ice Troll Smasher,750,0.8,1.6,60,85.5,53,66,0,0,0,0,100,15,1,6,2,3,0,0
12,Ice Troll Thrower,690,0.8,1.6,56,48,39,50,53,66,2,0,100,15,1,6,3,3,0,1
13,Marakk,27000,0.5,1.7,111,138,65,114,0,0,0,0,100,450,20,35,3,60,0,0
14,Darkwing,270,1.3,0,39,72,0,0,0,0,0,0,0,12,1,4,2,2,0,0
15,Warg Rider,555,1.35,0.9,102,46.5,27,39,30,42,1.7,20,100,11,1,6,2,3,0,0
16,Narazal,48000,0.6,1.7,138,159,1200,1200,999,1499,2.2,0,100,720,20,40,3,80,1,1
17,Red Spider,420,1.4,0.7,93,27,24,34.5,0,0,0,0,100,11,1,4,2,3,0,0
18,Green Spider,480,1.2,0.7,22.5,100.5,15,46.5,0,0,0,0,100,12,1,4,2,3,1,1
19,Baby Spider,60,1.7,0.7,34,18,7.5,13.5,0,0,0,0,100,1,1,2,2,1,1,1
20,CorruptedEnt,3750,0.6,1.6,121.5,85.5,109.5,177,0,0,0,0,100,32,1,10,3,5,0,0
21,Arhtaneas,42000,0.7,0.6,195,88.5,151.5,217.5,0,0,0,0,100,540,20,45,3,70,0,1
22,Harpy,450,1,0,89,38,0,0,0,0,0,0,0,13,1,4,3,2,0,0
23,Corrupted Dryad,825,1.2,1,30,95,50,77,65,92,1.8,0,100,15,1,5,3,3,0,1
24,Corrupted Centaur,765,1.2,0.7,104,27,113,147,0,0,0,30,100,15,1,6,3,3,0,0
25,Elora,67500,0.7,1,150,225,783,975,1062,1228.5,4.2,0,100,720,20,50,3,90,0,1
26,Grando General,1800,1,1.7,132,135,168,211.5,0,0,0,0,100,16,1,6,3,3,0,0
27,Grando Dark Druid/Arcanist,1050,1,1.2,82.5,168,60,93,82.5,105,2.2,0,100,16,1,6,3,3,3,0
28,Grando Sniper,1125,1.3,0.8,120,180,75,150,68,113,3,20,100,16,1,7,2,4,0,1
29,Wyvern Rider,1200,1.2,1,142.5,180,0,0,105,225,3,30,100,17,1,7,3,4,0,0
30,Narazal ver 2,82500,0.6,1.2,276,318,1687.5,1687.5,1498.5,2248.5,3.5,0,100,910,20,55,3,50,1,1
31,Grando bow,68,1.4,1.2,27,45,2,6,8,11,2.2,0,100,5,1,3,3,1,0,0
32,Blood Orc,960,1.1,0.5,52.5,40.5,72,114,0,0,0,20,100,16,1,5,2,3,0,0
33,Julius,112500,0.6,1.1,300,360,915,1230,0,0,0,70,100,4500,20,75,3,120,0,0
