item_id,id,type,loop,target,victim,order,limit,count,reward
0,0,ENHANCE,0,FIVE_STAR_RUNE,5,0,5,1,0_2_17
1,0,ENHANCE,0,FIVE_STAR_RUNE,10,0,4,1,0_250_0
2,0,ENHANCE,0,FIVE_STAR_RUNE,12,0,1,1,0_1_48
3,0,ENHANCE,0,FIVE_STAR_RUNE,15,0,1,1,0_500_9
4,0,ENHANCE,0,ANY_RUNE,,0,1,100,0_800_0
5,0,ENHANCE_FAIL,0,ANY_RUNE,,0,1,50,3_3_18
6,0,SUMMON,0,OPEN_RUNE_CHEST,,0,1,150,4_1_18
7,0,COMPOSE,0,ANY_RUNE,3,0,5,1,0_200_0
8,0,COMPOSE,0,ANY_RUNE,4,0,1,1,0_100_9
9,0,COMPLETE,0,ALL_ENHANCE_DAILY_QUEST,,0,1,5,0_1_48
