item_id,id,product_id,price,price_previous,type,quantity,consumable,vip_point,limit_total_number,spent_type,spent_quantity,item_type
0,0,com.zitga.empire.warriors.td_bundle_enhance_support_2.99,2.99,0,0,1350,1,,1,,,2
0,0,,,,9,180,,,,,,
0,0,,,,103,4,,,,,,
0,0,,,,23,30,,,,,,
1,0,com.zitga.empire.warriors.td_bundle_enhance_support_4.99,4.99,0,0,2700,1,,1,,,2
1,0,,,,9,360,,,,,,
1,0,,,,103,4,,,,,,
1,0,,,,104,2,,,,,,
1,0,,,,48,1,,,,,,
1,0,,,,23,50,,,,,,
2,0,com.zitga.empire.warriors.td_bundle_enhance_support_9.99,9.99,0,0,5400,1,,1,,,2
2,0,,,,9,720,,,,,,
2,0,,,,103,8,,,,,,
2,0,,,,104,4,,,,,,
2,0,,,,48,2,,,,,,
2,0,,,,23,100,,,,,,
3,0,com.zitga.empire.warriors.td_bundle_enhance_support_19.99,19.99,0,0,10800,1,,1,,,2
3,0,,,,9,1440,,,,,,
3,0,,,,103,16,,,,,,
3,0,,,,104,8,,,,,,
3,0,,,,48,4,,,,,,
3,0,,,,23,200,,,,,,
4,0,com.zitga.empire.warriors.td_bundle_enhance_support_49.99,49.99,0,0,27000,1,,1,,,2
4,0,,,,9,3600,,,,,,
4,0,,,,103,40,,,,,,
4,0,,,,104,20,,,,,,
4,0,,,,48,10,,,,,,
4,0,,,,23,500,,,,,,
5,0,com.zitga.empire.warriors.td_bundle_enhance_support_99.99,99.99,0,0,54000,1,,1,,,2
5,0,,,,9,7200,,,,,,
5,0,,,,103,80,,,,,,
5,0,,,,104,40,,,,,,
5,0,,,,48,20,,,,,,
5,0,,,,23,1000,,,,,,
