item_id,id,product_id,price,type,quantity,consumable,vip_point,limit_total_number,item_type,discount
0,12,com.zitga.empire.warriors.td.tower.defense_federyc_blessing_1,6.99,7,1,1,70,1,228,30
0,0,,,48,2,,,,,
1,12,com.zitga.empire.warriors.td.tower.defense_federyc_blessing_2,12.99,7,1,1,130,1,228,60
1,7,,,68,1,,,,,
1,0,,,48,2,,,,,
2,7,com.zitga.empire.warriors.td.tower.defense_federyc_blessing_3,12.99,68,1,1,130,1,228,60
2,3,,,18,4,,,,,
2,0,,,48,2,,,,,
3,7,com.zitga.empire.warriors.td.tower.defense_federyc_blessing_4,12.99,68,1,1,130,1,228,60
3,0,,,0,1800,,,,,
3,0,,,9,240,,,,,
3,0,,,48,2,,,,,
