item_id,id,product_id,price,price_previous,type,quantity,consumable,vip_point,limit_total_number,spent_type,spent_quantity,item_type
0,12,com.zitga.empire.warriors.td.tower.defense_bundle_launch_federyc_dragoons_12.99,12.99,,7,1,1,0,1,,,91
0,1,,,,36,1,1,0,,,,91
0,0,,,,48,2,1,0,,,,91
0,0,,,,23,130,1,0,,,,91
1,12,com.zitga.empire.warriors.td.tower.defense_bundle_launch_federyc_runes_12.99,12.99,,7,1,1,0,1,,,91
1,3,,,,18,4,1,0,,,,91
1,0,,,,48,2,1,0,,,,91
1,0,,,,23,130,1,0,,,,91
2,12,com.zitga.empire.warriors.td.tower.defense_bundle_launch_federyc_resource_12.99,12.99,,7,1,1,0,1,,,91
2,0,,,,0,1800,1,0,,,,91
2,0,,,,9,240,1,0,,,,91
2,0,,,,48,2,1,0,,,,91
2,0,,,,23,130,1,0,,,,91
3,12,com.zitga.empire.warriors.td.tower.defense_bundle_launch_federyc_rd_hero_14.99,14.99,,7,1,1,0,1,,,91
3,21,,,,18,1,1,0,,,,91
3,0,,,,48,2,1,0,,,,91
3,0,,,,23,150,1,0,,,,91
