item_id,id,product_id,price,price_previous,type,quantity,consumable,vip_point,limit_total_number,spent_type,spent_quantity,item_type
0,3,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_personal_offer_19.99,19.99,39.99,18,10,1,,1,,,99
0,0,,,,0,11200,,,,,,
0,0,,,,9,1800,,,,,,
0,0,,,,48,4,,,,,,
0,0,,,,23,200,,,,,,
1,6,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_thraldin_6.99,6.99,0,7,1,1,,1,,,100
1,0,,,,23,70,,,,,,
2,7,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_leon_6.99,6.99,0,7,1,1,,1,,,100
2,0,,,,23,70,,,,,,
3,8,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_aarendel_6.99,6.99,0,7,1,1,,1,,,100
3,0,,,,23,70,,,,,,
4,9,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_lyna_6.99,6.99,0,7,1,1,,1,,,100
4,0,,,,23,70,,,,,,
5,10,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_elowyn_6.99,6.99,0,7,1,1,,1,,,100
5,0,,,,23,70,,,,,,
6,11,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_thirios_6.99,6.99,0,7,1,1,,1,,,100
6,0,,,,23,70,,,,,,
7,5,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_miria_6.99,6.99,0,7,1,1,,1,,,100
7,0,,,,23,70,,,,,,
8,1,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_moon_miria_9.99,6.99,0,61,1,1,,1,,,101
8,0,,,,23,70,,,,,,
9,1,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_dark_arryn_6.99,6.99,0,58,1,1,,1,,,101
9,0,,,,23,70,,,,,,
10,1,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_blood_elf_6.99,6.99,0,64,1,1,,1,,,101
10,0,,,,23,70,,,,,,
11,0,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_gems_6.99,6.99,0,0,4500,1,,10,,,102
11,0,,,,23,70,,,,,,
12,0,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_crystals_6.99,6.99,0,9,600,1,,10,,,102
12,0,,,,23,70,,,,,,
13,3,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_10_runes_5_6.99,6.99,0,18,10,1,,10,,,102
13,0,,,,23,70,,,,,,
14,14,com.zitga.empire.warriors.td.tower.defense_bundle_flash_sale_50_mys_rune_6.99,6.99,0,18,50,1,,10,,,102
14,0,,,,23,70,,,,,,
