item_id,id,product_id,price,type,quantity,consumable,name_bundle,item_type,profit,trigger_bundle_type
0,0,com.zitga.empire.warriors.td.tower.defense_enhance_it_now,9.99,0,8000,1,enhance_it_now,201,0,1
0,0,,,9,3000,1,,,,
0,0,,,23,100,1,,,,
1,4,com.zitga.empire.warriors.td.tower.defense_for_endia,9.99,18,6,1,for_endia,201,0,2
1,0,,,9,600,1,,,,
1,0,,,23,100,1,,,,
2,3,com.zitga.empire.warriors.td.tower.defense_good_insight,0.99,18,1,1,good_insight,201,0,3
2,0,,,9,40,1,,,,
2,0,,,23,10,1,,,,
3,0,com.zitga.empire.warriors.td.tower.defense_bring_back_the_luck,6.99,0,5000,1,bring_back_the_luck,201,0,4
3,9,,,9,750,1,,,,
3,0,,,23,70,1,,,,
4,0,com.zitga.empire.warriors.td.tower.defense_buy_now_or_regret,4.99,9,5000,1,buy_now_or_regret,201,2000,5
4,0,,,23,50,1,,,,
