id,hero_id,skin_id,health,damage,armor,magic_resistance,attack_speed,range,crit_rate,crit_damage,health_regen,life_steal,movement_speed,respawn_time,skill_cooldown
0,0,0,,,,,,,,,,,,,
1,1,0,,,,,,,,,,,,,
2,2,0,,,,,,,,,,,,,
3,3,0,,,,,,,,,,,,,
4,4,0,,,,,,,,,,,,,
5,5,0,,,,,,,,,,,,,
6,6,0,,,,,,,,,,,,,
7,7,0,,,,,,,,,,,,,
8,8,0,,,,,,,,,,,,,
9,9,0,,,,,,,,,,,,,
10,10,0,,,,,,,,,,,,,
11,11,0,,,,,,,,,,,,,
12,5,1,,,,,,4,12,,,,,,
13,0,1,100,,55,,,,,,,,,,
14,2,1,,,,55,,,16,,,,,,
15,8,1,,,,,11,,,,,12,,,
16,12,0,,,,,,,,,,,,,
17,3,1,100,,,55,,,,,,,,,
18,8,3,,,,,11,,,,,12,,,
19,11,2,,55,55,,,,,,,,,,
20,2,2,,,,,11,,16,,,,,,
21,12,2,,55,,,11,,,,,,,,
22,3,2,,,55,55,,,,,,,,,
23,0,2,100,55,,,,,,,,,,,
24,9,2,,,,,,,,,,,30,,10
25,5,4,,55,,,,4,,,,,,,
26,12,4,100,,,,,4,,,,,,,
27,6,5,,,55,55,,,,,,,,,
28,10,5,,,,,11,,16,,,,,,
29,13,0,,,,,,,,,,,,,
30,0,3,,,55,55,,,,,,,,,
31,2,3,,55,,,,,12,,,,,,
32,12,3,,,,,11,,16,,,,,,
33,13,1,,55,,,11,,,,,,,,
34,12,7,,55,,,11,,,,,,,,
