item_id,id,product_id,price,type,quantity,consumable,vip_point,limit_number_in_day,limit_total_number,item_type,is_lock,exclusive_event_type
12,1,com.zitga.empire.warriors.td.tower.defense_miria_skin_1_new,9.99,61,1,1,100,0,1,2,FALSE,21
13,1,com.zitga.empire.warriors.td.tower.defense_jave_skin_1,9.99,57,1,1,100,0,1,2,TRUE,27
14,1,com.zitga.empire.warriors.td.tower.defense_arryn_skin_1,9.99,58,1,1,100,0,1,2,FALSE,29
15,1,com.zitga.empire.warriors.td.tower.defense_aarendel_skin_1,9.99,64,1,1,100,0,1,2,FALSE,29
18,3,com.zitga.empire.warriors.td.tower.defense_aarendel_skin_3,9.99,64,1,1,100,0,1,2,TRUE,21
19,2,com.zitga.empire.warriors.td.tower.defense_thirios_skin_2,9.99,67,1,1,100,0,1,2,TRUE,21
20,2,com.zitga.empire.warriors.td.tower.defense_arryn_skin_2,9.99,58,1,1,100,0,1,2,TRUE,61
21,2,com.zitga.empire.warriors.td.tower.defense_federyc_skin_2,9.99,68,1,1,100,0,1,2,TRUE,61
22,2,com.zitga.empire.warriors.td.tower.defense_wukong_skin_2,9.99,59,1,1,100,0,1,2,TRUE,61
23,2,com.zitga.empire.warriors.td.tower.defense_jave_skin_2,9.99,57,1,1,100,0,1,2,TRUE,61
24,2,com.zitga.empire.warriors.td.tower.defense_lyna_skin_2,9.99,65,1,1,100,0,1,2,TRUE,61
25,4,com.zitga.empire.warriors.td.tower.defense_miria_skin_4,9.99,61,1,1,100,0,1,2,TRUE,64
26,4,com.zitga.empire.warriors.td.tower.defense_federyc_skin_4,9.99,68,1,1,100,0,1,2,TRUE,64
27,5,com.zitga.empire.warriors.td.tower.defense_thraldin_skin_5,9.99,62,1,1,100,0,1,2,TRUE,35
28,5,com.zitga.empire.warriors.td.tower.defense_elowyn_skin_5,9.99,66,1,1,100,0,1,2,TRUE,35
30,3,com.zitga.empire.warriors.td.tower.defense_jave_skin_3,9.99,57,1,1,100,0,1,2,TRUE,66
31,3,com.zitga.empire.warriors.td.tower.defense_arryn_skin_3,9.99,58,1,1,100,0,1,2,TRUE,66
32,3,com.zitga.empire.warriors.td.tower.defense_federyc_skin_3,9.99,68,1,1,100,0,1,2,TRUE,66
33,1,com.zitga.empire.warriors.td.tower.defense_zenecia_skin_1,9.99,225,1,1,100,0,1,2,TRUE,66
34,7,com.zitga.empire.warriors.td.tower.defense_federyc_skin_7,9.99,68,1,1,100,0,1,2,TRUE,70
