wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,min_bonus_gem,max_bonus_gem
0,0,0,0,0,500,20,20,20,0_1_0@1_1_0@2_1_0@3_1_0,18,10,5,10
0,1,2,0,0,,,,,,,,,
0,2,1.7,0,0,,,,,,,,,
0,3,2.1,0,0,,,,,,,,,
0,4,1.9,0,0,,,,,,,,,
0,5,2,0,0,,,,,,,,,
0,6,1.9,0,0,,,,,,,,,
0,7,2,0,0,,,,,,,,,
0,8,2,0,0,,,,,,,,,
0,9,2,0,0,,,,,,,,,
1,0,0,1,0,,,,,,,,,
1,1,2,1,0,,,,,,,,,
1,2,2.2,1,0,,,,,,,,,
1,3,2,1,0,,,,,,,,,
1,4,2,1,0,,,,,,,,,
1,5,1.8,1,0,,,,,,,,,
1,6,2,0,0,,,,,,,,,
1,7,2,0,0,,,,,,,,,
1,8,2,0,0,,,,,,,,,
1,9,2.2,0,0,,,,,,,,,
2,0,0,0,0,,,,,,,,,
2,1,0.5,0,0,,,,,,,,,
2,2,0.7,0,0,,,,,,,,,
2,3,0.9,0,0,,,,,,,,,
2,4,0.5,1,0,,,,,,,,,
2,5,0.4,1,0,,,,,,,,,
2,6,0.8,1,0,,,,,,,,,
2,7,2.5,0,0,,,,,,,,,
2,8,0.4,0,0,,,,,,,,,
2,9,0.6,0,0,,,,,,,,,
2,10,0.7,0,0,,,,,,,,,
2,11,0.55,1,0,,,,,,,,,
2,12,0.65,1,0,,,,,,,,,
2,13,0.6,0,0,,,,,,,,,
2,14,0.7,0,0,,,,,,,,,
2,15,0.55,1,0,,,,,,,,,
2,16,0.65,1,0,,,,,,,,,
3,0,0,0,0,,,,,,,,,
3,1,0.6,0,0,,,,,,,,,
3,2,1,0,0,,,,,,,,,
3,3,1,0,0,,,,,,,,,
3,4,0.7,1,0,,,,,,,,,
3,5,1.3,1,0,,,,,,,,,
3,6,2,0,0,,,,,,,,,
3,7,1,0,0,,,,,,,,,
3,8,1.2,0,0,,,,,,,,,
3,9,1.3,1,0,,,,,,,,,
3,10,1.7,1,0,,,,,,,,,
3,11,2,0,0,,,,,,,,,
3,12,1,0,0,,,,,,,,,
3,13,0.7,0,0,,,,,,,,,
3,14,2,0,0,,,,,,,,,
3,15,1,0,0,,,,,,,,,
3,16,1.2,0,0,,,,,,,,,
3,17,1.3,1,0,,,,,,,,,
3,18,1.7,1,0,,,,,,,,,
3,19,0.3,0,0,,,,,,,,,
3,20,1,0,0,,,,,,,,,
3,21,1.2,0,0,,,,,,,,,
3,22,1.3,1,0,,,,,,,,,
4,0,0,1,0,,,,,,,,,
4,1,0.7,1,0,,,,,,,,,
4,2,1,1,0,,,,,,,,,
4,3,1.2,0,0,,,,,,,,,
4,4,1.2,0,0,,,,,,,,,
4,5,0.9,0,0,,,,,,,,,
4,6,0.8,1,0,,,,,,,,,
4,7,1,1,0,,,,,,,,,
4,8,1.3,1,0,,,,,,,,,
4,9,1.3,1,0,,,,,,,,,
4,10,1.4,0,0,,,,,,,,,
4,11,1.5,0,0,,,,,,,,,
4,12,1.7,0,0,,,,,,,,,
4,13,1.8,0,0,,,,,,,,,
4,14,1.7,1,0,,,,,,,,,
4,15,1,1,0,,,,,,,,,
4,16,1.3,1,0,,,,,,,,,
4,17,1.3,1,0,,,,,,,,,
4,18,1.4,0,0,,,,,,,,,
4,19,1.5,0,0,,,,,,,,,
4,20,1.7,0,0,,,,,,,,,
4,21,1,0,0,,,,,,,,,
4,22,1.3,1,0,,,,,,,,,
4,23,1.3,1,0,,,,,,,,,
4,24,1.4,1,0,,,,,,,,,
4,25,1.5,1,0,,,,,,,,,
4,26,1.7,1,0,,,,,,,,,
4,27,0.5,1,0,,,,,,,,,
4,28,0.7,1,0,,,,,,,,,
4,29,0.3,1,0,,,,,,,,,
4,30,0.8,1,0,,,,,,,,,
4,31,1,1,0,,,,,,,,,
4,32,0.5,1,0,,,,,,,,,
