wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star
0,0,0,3,3,1300,20,15,15,,18,10
0,1,0.8,3,3,,,,,,,
0,2,0.8,3,3,,,,,,,
0,3,0.8,3,3,,,,,,,
0,4,0.8,3,3,,,,,,,
0,5,0.8,3,3,,,,,,,
0,6,0.8,3,3,,,,,,,
0,7,0.8,3,3,,,,,,,
0,8,0.8,3,3,,,,,,,
0,9,0.8,3,3,,,,,,,
0,10,0.8,3,3,,,,,,,
0,11,11.3,17,3,,,,,,,
0,12,2.2,17,3,,,,,,,
0,13,2.2,17,3,,,,,,,
0,14,2.2,17,3,,,,,,,
0,15,2.2,17,3,,,,,,,
0,16,2.5,17,3,,,,,,,
0,17,2.5,17,3,,,,,,,
0,18,2.5,17,3,,,,,,,
0,19,2.5,17,3,,,,,,,
0,20,2.5,17,3,,,,,,,
0,0,5.5,3,4,,,,,,,
0,1,1.3,3,4,,,,,,,
0,2,1.3,3,4,,,,,,,
0,3,1.3,3,4,,,,,,,
0,4,1.3,3,4,,,,,,,
0,5,1.3,3,4,,,,,,,
0,6,1.3,3,4,,,,,,,
0,7,1.3,3,4,,,,,,,
0,8,1.3,3,4,,,,,,,
0,9,1.3,3,4,,,,,,,
0,10,1.3,3,4,,,,,,,
0,11,1.3,17,4,,,,,,,
0,12,2.2,17,4,,,,,,,
0,13,2.2,17,4,,,,,,,
0,14,2.2,17,4,,,,,,,
0,15,2.2,17,4,,,,,,,
0,16,2.6,17,4,,,,,,,
0,17,2.5,17,4,,,,,,,
0,18,2.5,17,4,,,,,,,
0,19,2.5,17,4,,,,,,,
0,20,2.5,17,4,,,,,,,
0,21,2.5,17,4,,,,,,,
1,0,0,3,2,,,,,,,
1,1,1.4,10,2,,,,,,,
1,2,1.6,3,2,,,,,,,
1,3,1.7,10,2,,,,,,,
1,4,1.4,3,2,,,,,,,
1,5,2,3,2,,,,,,,
1,6,1.6,10,2,,,,,,,
1,7,1.6,3,2,,,,,,,
1,8,1.6,10,2,,,,,,,
1,9,1.3,3,2,,,,,,,
1,10,1.3,10,2,,,,,,,
1,11,13,18,2,,,,,,,
1,12,1.3,18,2,,,,,,,
1,13,1.1,18,2,,,,,,,
1,14,1.1,18,2,,,,,,,
1,15,1.1,18,2,,,,,,,
1,16,1.1,18,2,,,,,,,
1,17,1.1,18,2,,,,,,,
1,18,1.1,18,2,,,,,,,
1,19,1.1,18,2,,,,,,,
1,0,7.3,10,3,,,,,,,
1,1,1.7,3,3,,,,,,,
1,2,1.8,10,3,,,,,,,
1,3,1.6,3,3,,,,,,,
1,4,1.7,10,3,,,,,,,
1,5,1.7,3,3,,,,,,,
