wave,no,time,enemy_id,gate,lane,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star
0,0,0,26,4,1,2000,20,20,20,,18,10
0,1,0,26,4,2,,,,,,,
0,2,1.2,0,4,1,,,,,,,
0,3,0,0,4,2,,,,,,,
0,4,1.2,0,4,1,,,,,,,
0,5,0,0,4,2,,,,,,,
0,6,1.2,0,4,1,,,,,,,
0,7,0,0,4,2,,,,,,,
0,8,2.5,26,4,1,,,,,,,
0,9,0,26,4,2,,,,,,,
0,10,1.2,0,4,1,,,,,,,
0,11,0,0,4,2,,,,,,,
0,12,1.2,0,4,1,,,,,,,
0,13,0,0,4,2,,,,,,,
0,14,1.2,0,4,1,,,,,,,
0,15,0,0,4,2,,,,,,,
0,16,2.5,26,4,1,,,,,,,
0,17,0,26,4,2,,,,,,,
0,18,1.2,0,4,1,,,,,,,
0,19,0,0,4,2,,,,,,,
0,20,1.2,0,4,1,,,,,,,
0,21,0,0,4,2,,,,,,,
0,22,1.2,0,4,1,,,,,,,
0,23,0,0,4,2,,,,,,,
0,24,2.5,26,4,1,,,,,,,
0,25,0,26,4,2,,,,,,,
0,26,1.2,0,4,1,,,,,,,
0,27,0,0,4,2,,,,,,,
0,28,1.2,0,4,1,,,,,,,
0,29,0,0,4,2,,,,,,,
0,30,1.2,0,4,1,,,,,,,
0,31,0,0,4,2,,,,,,,
0,32,2.5,26,4,1,,,,,,,
0,33,0,26,4,2,,,,,,,
0,34,1.2,0,4,1,,,,,,,
0,35,0,0,4,2,,,,,,,
0,36,1.2,0,4,1,,,,,,,
0,37,0,0,4,2,,,,,,,
0,38,1.2,0,4,1,,,,,,,
0,39,0,0,4,2,,,,,,,
0,0,12,27,5,1,,,,,,,
0,1,0,27,5,2,,,,,,,
0,2,1.2,1,5,1,,,,,,,
0,3,0,1,5,2,,,,,,,
0,4,1.2,1,5,1,,,,,,,
0,5,0,1,5,2,,,,,,,
0,6,1.2,1,5,1,,,,,,,
0,7,0,1,5,2,,,,,,,
0,8,2.5,27,5,1,,,,,,,
0,9,0,27,5,2,,,,,,,
0,10,1.2,1,5,1,,,,,,,
0,11,0,1,5,2,,,,,,,
0,12,1.2,1,5,1,,,,,,,
0,13,0,1,5,2,,,,,,,
0,14,1.2,1,5,1,,,,,,,
0,15,0,1,5,2,,,,,,,
0,16,2.5,27,5,1,,,,,,,
0,17,0,27,5,2,,,,,,,
0,18,1.2,1,5,1,,,,,,,
0,19,0,1,5,2,,,,,,,
0,20,1.2,1,5,1,,,,,,,
0,21,0,1,5,2,,,,,,,
0,22,1.2,1,5,1,,,,,,,
0,23,0,1,5,2,,,,,,,
0,24,2.5,27,5,1,,,,,,,
0,25,0,27,5,2,,,,,,,
0,26,1.2,1,5,1,,,,,,,
0,27,0,1,5,2,,,,,,,
0,28,1.2,1,5,1,,,,,,,
0,29,0,1,5,2,,,,,,,
0,30,1.2,1,5,1,,,,,,,
0,31,0,1,5,2,,,,,,,
0,32,2.5,27,5,1,,,,,,,
0,33,0,27,5,2,,,,,,,
0,34,1.2,1,5,1,,,,,,,
0,35,0,1,5,2,,,,,,,
0,36,1.2,1,5,1,,,,,,,
0,37,0,1,5,2,,,,,,,
0,38,1.2,1,5,1,,,,,,,
0,39,0,1,5,2,,,,,,,
1,0,0,26,4,0,,,,,,,
1,1,0,26,4,1,,,,,,,
1,2,0,26,4,2,,,,,,,
1,3,1.2,0,4,0,,,,,,,
1,4,0,0,4,1,,,,,,,
1,5,0,0,4,2,,,,,,,
1,6,1.2,0,4,0,,,,,,,
1,7,0,0,4,1,,,,,,,
1,8,0,0,4,2,,,,,,,
1,9,1,32,4,0,,,,,,,
1,10,0,32,4,1,,,,,,,
1,11,0,32,4,2,,,,,,,
1,12,3,26,4,0,,,,,,,
1,13,0,26,4,1,,,,,,,
1,14,0,26,4,2,,,,,,,
1,15,1.2,0,4,0,,,,,,,
1,16,0,0,4,1,,,,,,,
1,17,0,0,4,2,,,,,,,
1,18,1.2,0,4,0,,,,,,,
1,19,0,0,4,1,,,,,,,
1,20,0,0,4,2,,,,,,,
1,21,1,32,4,0,,,,,,,
1,22,0,32,4,1,,,,,,,
1,23,0,32,4,2,,,,,,,
1,24,3,26,4,0,,,,,,,
1,25,0,26,4,1,,,,,,,
1,26,0,26,4,2,,,,,,,
1,27,1.2,0,4,0,,,,,,,
1,28,0,0,4,1,,,,,,,
1,29,0,0,4,2,,,,,,,
1,30,1.2,0,4,0,,,,,,,
1,31,0,0,4,1,,,,,,,
1,32,0,0,4,2,,,,,,,
1,33,1,32,4,0,,,,,,,
1,34,0,32,4,1,,,,,,,
1,35,0,32,4,2,,,,,,,
1,0,10,27,5,0,,,,,,,
1,1,0,27,5,1,,,,,,,
1,2,0,27,5,2,,,,,,,
1,3,1.2,1,5,0,,,,,,,
1,4,0,1,5,1,,,,,,,
1,5,0,1,5,2,,,,,,,
1,6,1.2,1,5,0,,,,,,,
1,7,0,1,5,1,,,,,,,
1,8,0,1,5,2,,,,,,,
1,9,1,32,5,0,,,,,,,
1,10,0,32,5,1,,,,,,,
1,11,0,32,5,2,,,,,,,
1,12,3,27,5,0,,,,,,,
1,13,0,27,5,1,,,,,,,
1,14,0,27,5,2,,,,,,,
1,15,1.2,1,5,0,,,,,,,
1,16,0,1,5,1,,,,,,,
1,17,0,1,5,2,,,,,,,
1,18,1.2,1,5,0,,,,,,,
1,19,0,1,5,1,,,,,,,
1,20,0,1,5,2,,,,,,,
1,21,1,32,5,0,,,,,,,
1,22,0,32,5,1,,,,,,,
1,23,0,32,5,2,,,,,,,
1,24,3,27,5,0,,,,,,,
1,25,0,27,5,1,,,,,,,
1,26,0,27,5,2,,,,,,,
1,27,1.2,1,5,0,,,,,,,
1,28,0,1,5,1,,,,,,,
1,29,0,1,5,2,,,,,,,
1,30,1.2,1,5,0,,,,,,,
1,31,0,1,5,1,,,,,,,
1,32,0,1,5,2,,,,,,,
1,33,1,32,5,0,,,,,,,
1,34,0,32,5,1,,,,,,,
