wave,no,time,enemy_id,gate,lane,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,limit_total_wave
0,0,0,24,1,0,1000,15,10,10,,15,10,15
0,1,0.5,0,1,0,,,,,,,,
0,2,0,0,1,1,,,,,,,,
0,3,0,0,1,2,,,,,,,,
0,4,0.8,0,1,0,,,,,,,,
0,5,0,0,1,1,,,,,,,,
0,6,0,0,1,2,,,,,,,,
0,7,6,24,1,0,,,,,,,,
0,8,0.5,0,1,0,,,,,,,,
0,9,0,0,1,1,,,,,,,,
0,10,0,0,1,2,,,,,,,,
0,11,0.8,0,1,0,,,,,,,,
0,12,0,0,1,1,,,,,,,,
0,13,0,0,1,2,,,,,,,,
0,14,6,24,1,0,,,,,,,,
0,15,0.5,0,1,0,,,,,,,,
0,16,0,0,1,1,,,,,,,,
0,17,0,0,1,2,,,,,,,,
0,18,0.8,0,1,0,,,,,,,,
0,19,0,0,1,1,,,,,,,,
0,20,0,0,1,2,,,,,,,,
0,0,5,32,2,1,,,,,,,,
0,1,0,32,2,0,,,,,,,,
0,2,5,32,2,2,,,,,,,,
0,3,0,32,2,0,,,,,,,,
0,4,5,32,2,1,,,,,,,,
0,5,0,32,2,0,,,,,,,,
0,6,5,32,2,2,,,,,,,,
0,7,0,32,2,0,,,,,,,,
0,8,2,32,2,1,,,,,,,,
0,9,0,32,2,0,,,,,,,,
0,10,2,32,2,2,,,,,,,,
0,11,0,32,2,0,,,,,,,,
0,0,8,3,4,0,,,,,,,,
0,1,0,3,4,1,,,,,,,,
0,2,0,3,4,2,,,,,,,,
0,3,1,3,4,0,,,,,,,,
0,4,0,3,4,1,,,,,,,,
0,5,0,3,4,2,,,,,,,,
0,6,3,32,4,0,,,,,,,,
0,7,0,32,4,1,,,,,,,,
0,8,0,32,4,2,,,,,,,,
0,9,12,3,4,0,,,,,,,,
0,10,0,3,4,1,,,,,,,,
0,11,0,3,4,2,,,,,,,,
0,12,1,3,4,0,,,,,,,,
0,13,0,3,4,1,,,,,,,,
0,14,0,3,4,2,,,,,,,,
0,15,3,32,4,0,,,,,,,,
0,16,0,32,4,1,,,,,,,,
0,17,0,32,4,2,,,,,,,,
0,15,3,32,4,0,,,,,,,,
0,16,0,32,4,1,,,,,,,,
0,17,0,32,4,2,,,,,,,,
0,0,15,29,3,-1,,,,,,,,
0,1,5,29,3,-1,,,,,,,,
0,2,5,29,3,-1,,,,,,,,
0,3,5,29,3,-1,,,,,,,,
0,4,3,29,3,-1,,,,,,,,
0,5,2,29,3,-1,,,,,,,,
1,0,0,24,1,0,,,,,,,,
1,1,0.5,0,1,0,,,,,,,,
1,2,0,0,1,1,,,,,,,,
1,3,0,0,1,2,,,,,,,,
1,4,0.8,0,1,0,,,,,,,,
1,5,0,0,1,1,,,,,,,,
1,6,0,0,1,2,,,,,,,,
1,7,8,24,1,0,,,,,,,,
1,8,0.5,0,1,0,,,,,,,,
1,9,0,0,1,1,,,,,,,,
1,10,0,0,1,2,,,,,,,,
1,11,0.8,0,1,0,,,,,,,,
1,12,0,0,1,1,,,,,,,,
1,13,0,0,1,2,,,,,,,,
