item_id,id,product_id,price,type,quantity,consumable,vip_point,limit_number_in_day,time_reset_next_buy,limit_total_number,item_type
0,0,,0,205,5,1,,1,-1,-1,206
1,0,,0,205,10,1,,2,-1,-1,14
1,0,,0,0,50,1,,2,-1,-1,14
2,0,com.zitga.empire.warriors.td.tower.defense_new_halloween_3,0.99,205,20,1,10,3,-1,-1,85
2,0,,0,0,300,,,,,,
3,0,com.zitga.empire.warriors.td.tower.defense_new_halloween_4,2.99,205,70,1,30,3,-1,-1,85
3,0,,,0,900,,,,,,
4,0,com.zitga.empire.warriors.td.tower.defense_new_halloween_5,4.99,205,120,1,50,3,-1,-1,85
4,0,,,0,1500,,,,,,
5,4,com.zitga.empire.warriors.td.tower.defense_new_halloween_6,14.99,61,1,1,150,1,-1,1,85
5,0,,,205,400,,,,,,
