item_id,id,type,quantity,star
0,0,205,3,1
0,0,205,3,2
0,0,205,3,3
0,0,205,3,4
0,0,205,3,5
0,0,205,3,6
0,0,205,4,7
0,0,205,4,8
0,0,205,4,9
1,0,205,3,1
1,0,205,3,2
1,0,205,3,3
1,0,205,4,4
1,0,205,4,5
1,0,205,4,6
1,0,205,5,7
1,0,205,5,8
1,0,205,6,9
2,0,205,6,1
2,0,205,6,2
2,0,205,6,3
2,0,205,7,4
2,0,205,7,5
2,0,205,7,6
2,0,205,8,7
2,0,205,8,8
2,0,205,10,9
3,0,205,10,1
3,0,205,10,2
3,0,205,10,3
3,0,205,11,4
3,0,205,11,5
3,0,205,11,6
3,0,205,12,7
3,0,205,12,8
3,0,205,13,9
4,0,205,11,1
4,0,205,11,2
4,0,205,11,3
4,0,205,12,4
4,0,205,12,5
4,0,205,12,6
4,0,205,13,7
4,0,205,13,8
4,0,205,15,9
5,0,205,16,1
5,0,205,16,2
5,0,205,16,3
5,0,205,17,4
5,0,205,18,5
5,0,205,19,6
5,0,205,20,7
5,0,205,22,8
5,0,205,25,9
