item_id,id,product_id,type,price,price_previous,quantity,consumable,vip_point,limit_number_in_day,time_reset_next_buy,day_number_receive,item_type
0,0,com.zitga.empire.warriors.td.tower.defense_new_year_lunar_9.99,0,4.99,25,1000,1,,1,0,6,44
0,0,,9,0,,250,1,,1,0,1,44
0,8,,18,0,,5,1,,1,0,1,44
0,0,,48,0,,1,1,,1,0,1,44
0,0,,23,0,,50,1,,1,0,1,44
1,0,com.zitga.empire.warriors.td.tower.defense_new_year_lunar_gift_19.99,0,9.99,55,3500,1,,1,0,6,43
1,0,,9,0,,700,1,,1,0,1,43
1,8,,18,0,,15,1,,1,0,1,43
1,0,,48,0,,2,1,,1,0,1,43
1,0,,23,0,,100,1,,1,0,1,43
