unlock_map_id,item_id,id,product_id,price,type,quantity,star,level,consumable,vip_point,item_type,profit
5,0,0,,,17,5,0,0,,,14,500
5,0,0,,,9,20,0,0,,,,
5,1,0,com.zitga.empire.warriors.td.tower.defense_one_time_offer_5_1,0.99,17,20,0,0,1,10,118,700
5,1,0,,,9,80,0,0,,,,
5,2,0,com.zitga.empire.warriors.td.tower.defense_one_time_offer_5_2,2.99,17,60,0,0,1,30,118,700
5,2,0,,,9,240,0,0,,,,
10,0,0,,,17,5,0,0,,,14,500
10,0,0,,,9,20,0,0,,,,
10,1,2,com.zitga.empire.warriors.td.tower.defense_one_time_offer_10_1,2.99,18,6,0,0,1,30,118,800
10,1,0,,,9,300,0,0,,,,
10,2,3,com.zitga.empire.warriors.td.tower.defense_one_time_offer_10_2,4.99,18,6,0,0,1,50,118,800
10,2,0,,,9,600,0,0,,,,
15,0,0,,,17,5,0,0,,,14,500
15,0,0,,,9,20,0,0,,,,
15,1,6,com.zitga.empire.warriors.td.tower.defense_one_time_offer_15_1,4.99,7,1,0,0,1,50,118,800
15,1,4,,,12,4,3,0,,,,
15,1,1,,,12,2,3,0,,,,
15,2,12,com.zitga.empire.warriors.td.tower.defense_one_time_offer_15_2,9.99,7,1,0,0,1,100,118,800
15,2,0,,,12,2,4,0,,,,
15,2,4,,,12,2,4,0,,,,
15,2,5,,,12,2,4,0,,,,
20,0,0,,,17,5,0,0,,,14,500
20,0,0,,,9,20,0,0,,,,
20,1,11,com.zitga.empire.warriors.td.tower.defense_one_time_offer_20_1,4.99,7,1,0,0,1,50,118,800
20,1,3,,,12,4,3,0,,,,
20,1,4,,,12,2,3,0,,,,
20,2,8,com.zitga.empire.warriors.td.tower.defense_one_time_offer_20_2,9.99,7,1,0,0,1,100,118,800
20,2,9,,,12,4,4,0,,,,
20,2,2,,,12,2,4,0,,,,
