item_id,id,type,quantity
0,0,0,100
1,0,1,1
2,0,17,1
3,1,18,1
4,0,9,100
5,0,0,100
6,1,1,1
7,0,17,1
8,1,18,1
9,3,18,1
10,0,0,150
11,2,1,1
12,0,17,1
13,1,18,6
14,0,9,100
15,0,0,150
16,3,1,1
17,0,17,1
18,1,18,6
19,0,48,1
20,0,0,200
21,4,1,1
22,1,18,9
23,0,17,1
24,0,9,300
25,0,0,200
26,0,1,2
27,2,18,3
28,0,17,1
29,3,18,1
30,0,0,250
31,1,1,2
32,2,18,3
33,0,17,1
34,0,9,450
35,0,0,250
36,2,18,3
37,2,1,2
38,0,17,1
39,3,18,1
40,0,0,300
41,3,1,2
42,2,18,3
43,0,17,1
44,4,18,1
45,0,0,300
46,4,1,2
47,0,17,1
48,4,18,1
49,2,65,1
