item_id,id,type,quantity
0,0,0,300
1,0,1,3
2,0,17,2
3,1,18,3
4,2,58,1
5,0,0,300
6,1,1,3
7,0,17,2
8,1,18,3
9,3,18,2
10,0,0,350
11,2,1,3
12,0,17,3
13,1,18,9
14,0,48,3
15,0,0,350
16,3,1,3
17,0,17,3
18,1,18,9
19,3,18,2
20,0,0,500
21,4,1,3
22,1,18,12
23,0,17,3
24,0,9,500
25,0,0,500
26,0,1,4
27,2,18,9
28,0,17,3
29,3,18,2
30,0,0,650
31,1,1,4
32,2,18,9
33,0,17,3
34,0,9,650
35,0,0,650
36,2,18,9
37,2,1,4
38,0,17,3
39,4,18,1
40,0,0,750
41,3,1,4
42,2,18,9
43,0,17,3
44,4,18,3
45,0,0,750
46,4,1,4
47,0,17,3
48,4,18,5
49,2,68,1
