item_id,id,description,type,loop,target,victim,order,count,reward
0,0,kill xxx enemies,KILL,0,ENEMY,,0,50,0_10_0
0,1,,,,,,,100,0_20_0
0,2,,,,,,,500,0_50_0
0,3,,,,,,,1000,0_100_0
0,4,,,,,,,5000,0_150_0
0,5,,,,,,,10000,0_200_0
0,6,,,,,,,30000,0_250_0
0,7,,,,,,,50000,0_300_0
0,8,,,,,,,70000,0_350_0
0,9,,,,,,,90000,0_400_0
0,10,,,,,,,150000,0_450_0
1,0,Play xxx games,PLAY,0,PLAY,,0,1,0_10_0
1,1,,,,,,,10,0_20_0
1,2,,,,,,,30,0_50_0
1,3,,,,,,,50,0_100_0
1,4,,,,,,,100,0_150_0
1,5,,,,,,,200,0_200_0
1,6,,,,,,,300,0_250_0
1,7,,,,,,,500,0_300_0
1,8,,,,,,,700,0_350_0
1,9,,,,,,,1000,0_400_0
2,0,Use xxx power-up items,USE,0,ITEM,,0,5,0_15_0
2,1,,,,,,,25,0_25_0
2,2,,,,,,,50,0_45_0
2,3,,,,,,,100,0_90_0
2,4,,,,,,,200,0_180_0
2,5,,,,,,,500,0_300_0
2,6,,,,,,,750,0_450_0
2,7,,,,,,,1000,0_600_0
3,0,Purchase xxx power-up items,BUY,0,ITEM,,0,5,0_20_0
3,1,,,,,,,25,0_40_0
3,2,,,,,,,50,0_80_0
3,3,,,,,,,100,0_150_0
3,4,,,,,,,200,0_300_0
3,5,,,,,,,500,0_450_0
3,6,,,,,,,750,0_600_0
3,7,,,,,,,1000,0_800_0
4,0,Use heroes' ability xxx times,CAST,0,HERO,,0,20,0_10_0
4,1,,,,,,,50,0_25_0
4,2,,,,,,,100,0_50_0
4,3,,,,,,,200,0_100_0
4,4,,,,,,,400,0_150_0
4,5,,,,,,,800,0_200_0
4,6,,,,,,,1200,0_250_0
4,7,,,,,,,1600,0_300_0
4,8,,,,,,,2000,0_350_0
5,0,complete map 1 with 3*,COMPLETE,0,MAP,0,1,1,0_30_0
6,0,complete map 2 with 3*,COMPLETE,0,MAP,1,1,1,0_30_0
7,0,complete map 3 with 3*,COMPLETE,0,MAP,2,1,1,0_30_0
8,0,complete map 4 with 3*,COMPLETE,0,MAP,3,1,1,0_30_0
9,0,complete map 5 with 3*,COMPLETE,0,MAP,4,1,1,0_30_0
10,0,complete map 6 with 3*,COMPLETE,0,MAP,5,1,1,0_30_0
11,0,complete map 7 with 3*,COMPLETE,0,MAP,6,1,1,0_30_0
12,0,complete map 8 with 3*,COMPLETE,0,MAP,7,1,1,0_30_0
13,0,complete map 9 with 3*,COMPLETE,0,MAP,8,1,1,0_30_0
14,0,complete map 10 with 3*,COMPLETE,0,MAP,9,1,1,0_30_0
15,0,buy 1 hero,BUY,0,HERO,,5,1,0_30_0
16,0,buy 3 hero,BUY,0,HERO,,5,3,0_100_0
17,0,kill enemies with barrack towers,KILL_BY,0,TOWER,0,0,10,0_10_0
17,1,,,,,,,100,0_20_0
17,2,,,,,,,200,0_30_0
17,3,,,,,,,400,0_50_0
17,4,,,,,,,800,0_100_0
17,5,,,,,,,1500,0_150_0
17,6,,,,,,,3000,0_200_0
17,7,,,,,,,6000,0_250_0
17,8,,,,,,,15000,0_300_0
18,0,kill enemies with archer tower,KILL_BY,0,TOWER,1,0,10,0_10_0
18,1,,,,,,,100,0_20_0
18,2,,,,,,,200,0_30_0
18,3,,,,,,,400,0_50_0
18,4,,,,,,,800,0_100_0
18,5,,,,,,,1500,0_150_0
18,6,,,,,,,3000,0_200_0
18,7,,,,,,,6000,0_250_0
18,8,,,,,,,15000,0_300_0
19,0,kill enemies with mage tower,KILL_BY,0,TOWER,2,0,10,0_10_0
19,1,,,,,,,100,0_20_0
19,2,,,,,,,200,0_30_0
19,3,,,,,,,400,0_50_0
19,4,,,,,,,800,0_100_0
19,5,,,,,,,1500,0_150_0
19,6,,,,,,,3000,0_200_0
19,7,,,,,,,6000,0_250_0
19,8,,,,,,,15000,0_300_0
20,0,kill enemies with golem tower,KILL_BY,0,TOWER,3,0,10,0_10_0
20,1,,,,,,,100,0_20_0
20,2,,,,,,,200,0_30_0
20,3,,,,,,,400,0_50_0
20,4,,,,,,,800,0_100_0
20,5,,,,,,,1500,0_150_0
20,6,,,,,,,3000,0_200_0
20,7,,,,,,,6000,0_250_0
20,8,,,,,,,15000,0_300_0
21,0,Use item Amageddon,USE,0,ITEM,0,0,5,0_10_0
21,1,,,,,,,10,0_20_0
21,2,,,,,,,20,0_30_0
21,3,,,,,,,50,0_50_0
21,4,,,,,,,100,0_100_0
21,5,,,,,,,150,0_150_0
21,6,,,,,,,200,0_200_0
