level,chance,gem_price,crystal_price
0,100,2@4@6@8@10,0@0@0@0@0
1,100,2@4@6@8@10,0@0@0@0@0
2,90,3@6@9@12@15,0@0@0@0@0
3,80,4@8@12@16@20,0@0@0@0@0
4,70,5@10@15@20@25,0@0@0@0@0
5,60,6@12@18@24@30,0@0@0@0@0
6,50,7@14@21@28@35,0@0@0@0@0
7,35,8@15@24@32@40,0@0@0@0@0
8,20,9@18@27@36@45,1@2@3@4@5
9,15,10@20@30@40@50,2@4@6@8@10
10,10,11@22@33@44@55,3@6@9@12@15
11,7,12@24@36@48@60,4@8@12@16@20
12,4,13@26@39@52@65,5@10@15@20@25
13,2,14@28@42@56@70,6@12@18@24@30
14,1,15@30@45@60@75,7@14@21@28@35
15,0.5,16@32@48@64@80,8@16@24@32@40
