item_id,day_id,id,type,loop,target,victim,order,count,reward
0,0,0,PLAY,0,TRIAL_HERO,,0,1,0_2_17
1,0,0,COMPLETE,0,MAP,4,0,1,0_50_0
2,0,0,COUNT,0,HERO,,0,2,0_10_9
3,0,0,COUNT,0,ANY_HERO_LEVEL,4,0,1,0_50_0
4,0,0,SUMMON,0,GOLDEN_RUNE,,0,1,0_5_17
5,1,0,PLAY,0,TRIAL_HERO,,0,2,0_2_17
6,1,0,COMPLETE,0,MAP,7,0,1,0_50_0
7,1,0,SUMMON,0,GOLDEN_RUNE,,0,2,0_20_9
8,1,0,COUNT,0,ANY_HERO_LEVEL,6,0,1,0_50_0
9,1,0,EQUIP_RUNE,0,ANY_STARS,,0,6,7_1_18
10,1,0,UPGRADE,0,STAR_SILVER,,0,3,0_50_0
11,2,0,PLAY,0,TRIAL_HERO,,0,3,0_2_17
12,2,0,COMPLETE,0,MAP,9,0,1,0_50_0
13,2,0,COUNT,0,HERO,,0,3,0_300_0
14,2,0,COUNT,0,ANY_HERO_LEVEL,9,0,1,0_50_0
15,2,0,COMPLETE,0,MAP_NIGHTMARE,4,0,1,7_1_18
16,2,0,UPGRADE,0,STAR_SILVER,,0,5,0_20_9
17,3,0,PLAY,0,TRIAL_HERO,,0,4,0_2_17
18,3,0,COMPLETE,0,MAP,12,0,1,0_50_0
19,3,0,UPGRADE,0,CRYSTAL_MINE,,0,2,0_100_0
20,3,0,COUNT,0,ANY_HERO_LEVEL,11,0,1,0_50_0
21,3,0,BUY,0,ITEM,,0,5,0_5_17
22,3,0,UPGRADE,0,STAR_SILVER,,0,10,0_50_9
23,3,0,EARN,0,CRYSTAL_SELL_RUNE,,0,100,0_50_0
24,4,0,PLAY,0,TRIAL_HERO,,0,5,0_2_17
25,4,0,COMPLETE,0,MAP,14,0,1,0_50_0
26,4,0,UPGRADE,0,CRYSTAL_MINE,,0,5,0_100_0
27,4,0,COUNT,0,ANY_HERO_LEVEL,9,0,2,0_100_0
28,4,0,COMPLETE,0,MAP_NIGHTMARE,9,0,1,2_1_18
29,4,0,UPGRADE,0,STAR_SILVER,,0,15,0_20_9
30,4,0,COMPOSE,0,ANY_RUNE,4,0,1,0_20_9
31,5,0,PLAY,0,TRIAL_HERO,,0,6,0_2_17
32,5,0,COMPLETE,0,MAP,17,0,1,0_100_0
33,5,0,EQUIP_RUNE,0,STARS,3,0,6,0_100_0
34,5,0,SUMMON,0,GOLDEN_RUNE,,0,4,0_5_17
35,5,0,UPGRADE,0,STAR_GOLD,,0,5,7_1_18
36,5,0,UPGRADE,0,STAR_SILVER,,0,20,0_20_9
37,5,0,ENHANCE,0,ANY_RUNE,5,0,1,0_100_0
38,6,0,PLAY,0,TRIAL_HERO,,0,7,0_2_17
39,6,0,COMPLETE,0,MAP,19,0,1,0_100_0
40,6,0,COUNT,0,HERO,,0,4,0_200_0
41,6,0,COUNT,0,ANY_HERO_LEVEL,9,0,3,0_5_17
42,6,0,PLAY,0,TOURNAMENT,,0,1,0_100_0
43,6,0,UPGRADE,0,STAR_SILVER,,0,23,0_50_9
44,6,0,COMPLETE,0,MAP_CHALLENGE,1,0,1,7_1_18
45,6,0,ENHANCE,0,ANY_RUNE,8,0,1,7_2_18
