item_id,id,product_id,type,price,quantity,consumable,vip_point,champion,is_promo_iap,time_reset_next_buy,price_previous
0,0,com.zitga.empire.warriors.td.tower.defense_bundle_9.99,0,9.99,3000,0,100,0,0,0,0
0,0,,1,0,3,0,,,,0,0
0,1,,1,0,3,0,,,,0,0
0,2,,1,0,3,0,,,,0,0
0,3,,1,0,3,0,,,,0,0
0,3,,7,0,1,0,,,,0,0
1,0,com.zitga.empire.warriors.td.tower.defense_bundle_14.99,0,14.99,5000,0,150,0,0,0,0
1,0,,1,0,6,0,,,,0,0
1,1,,1,0,6,0,,,,0,0
1,2,,1,0,6,0,,,,0,0
1,3,,1,0,6,0,,,,0,0
1,4,,7,0,1,0,,,,0,0
2,0,com.zitga.empire.warriors.td.tower.defense_bundle_champion_8.99_new,0,8.99,6000,0,90,1,0,0,0
2,0,,1,0,10,0,,,,0,0
2,1,,1,0,10,0,,,,0,0
2,2,,1,0,10,0,,,,0,0
2,3,,1,0,10,0,,,,0,0
3,0,com.zitga.empire.warriors.td.tower.defense_bundle_champion_10.99,0,10.99,6000,0,110,1,0,0,0
3,0,,1,0,10,0,,,,0,0
3,1,,1,0,10,0,,,,0,0
3,2,,1,0,10,0,,,,0,0
3,3,,1,0,10,0,,,,0,0
3,3,,7,0,1,0,,,,0,0
4,0,com.zitga.empire.warriors.td.tower.defense_bundle_champion_11.99,0,11.99,6000,0,120,1,0,0,0
4,0,,1,0,10,0,,,,0,0
4,1,,1,0,10,0,,,,0,0
4,2,,1,0,10,0,,,,0,0
4,3,,1,0,10,0,,,,0,0
4,4,,7,0,1,0,,,,0,0
5,0,com.zitga.empire.warriors.td.tower.defense_bundle_champion_14.99,0,14.99,6000,0,150,1,0,0,0
5,0,,1,0,10,0,,,,0,0
5,1,,1,0,10,0,,,,0,0
5,2,,1,0,10,0,,,,0,0
5,3,,1,0,10,0,,,,0,0
5,3,,7,0,1,0,,,,0,0
5,4,,7,0,1,0,,,,0,0
6,5,com.zitga.empire.warriors.td.tower.defense_bundle_miria_7.99,7,7.99,1,0,,0,0,0,0
6,0,,0,0,2000,0,,,,0,0
6,0,,9,0,250,0,,,,0,0
6,0,,23,0,80,0,,,,0,0
7,6,com.zitga.empire.warriors.td.tower.defense_bundle_thraldin_9.99,7,9.99,1,0,,0,0,0,0
7,0,,0,0,3000,0,,,,0,0
7,0,,9,0,400,0,,,,0,0
7,0,,12,0,1,0,,,,0,0
7,0,,23,0,100,0,,,,0,0
8,7,com.zitga.empire.warriors.td.tower.defense_bundle_leon_14.99,7,14.99,1,0,,0,0,0,0
8,0,,0,0,4500,0,,,,0,0
8,0,,9,0,600,0,,,,0,0
8,0,,12,0,1,0,,,,0,0
8,0,,23,0,150,0,,,,0,0
9,8,com.zitga.empire.warriors.td.tower.defense_bundle_aarendel_14.99,7,14.99,1,0,,0,0,0,0
9,0,,0,0,4500,0,,,,0,0
9,0,,9,0,600,0,,,,0,0
9,0,,12,0,1,0,,,,0,0
9,0,,23,0,150,0,,,,0,0
10,9,com.zitga.empire.warriors.td.tower.defense_bundle_lyna_14.99,7,14.99,1,0,,0,0,0,0
10,0,,0,0,4500,0,,,,0,0
10,0,,9,0,600,0,,,,0,0
10,0,,12,0,1,0,,,,0,0
10,0,,23,0,150,0,,,,0,0
11,10,com.zitga.empire.warriors.td.tower.defense_bundle_elowyn_14.99,7,14.99,1,0,,0,0,0,0
11,0,,0,0,4500,0,,,,0,0
11,0,,9,0,600,0,,,,0,0
11,0,,12,0,1,0,,,,0,0
11,0,,23,0,150,0,,,,0,0
12,8,com.zitga.empire.warriors.td.tower.defense_bundle_promo_challenge_24.99,7,24.99,1,0,,0,1,0,0
12,6,,7,0,1,0,,,,0,0
12,0,,0,0,6000,0,,,,0,0
12,0,,9,0,1500,0,,,,0,0
12,0,,23,0,250,0,,,,0,0
13,0,com.zitga.empire.warriors.td.tower.defense_bundle_promo_special_49.99,0,49.99,10000,0,500,0,0,0,0
13,0,,9,0,1500,0,,,,0,0
13,-1,,32,0,2,0,,,,0,0
13,-1,,12,0,5,0,,,,0,0
14,11,com.zitga.empire.warriors.td.tower.defense_bundle_thirios_14.99,7,14.99,1,0,,0,0,0,0
14,0,,0,0,4500,0,,,,0,0
14,0,,9,0,600,0,,,,0,0
14,0,,12,0,1,0,,,,0,0
14,0,,23,0,150,0,,,,0,0
15,0,com.zitga.empire.warriors.td.tower.defense_unlock_four_tower_purple_16.99,36,16.99,1,0,170,0,0,2,23.99
15,1,,36,0,1,0,,0,0,2,0
15,2,,36,0,1,0,,0,0,2,0
15,3,,36,0,1,0,,0,0,2,0
16,12,com.zitga.empire.warriors.td.tower.defense_bundle_federyc_14.99,7,14.99,1,0,,0,0,0,0
16,0,,0,0,4500,0,,,,0,0
16,0,,9,0,600,0,,,,0,0
16,0,,12,0,1,0,,,,0,0
16,0,,23,0,150,0,,,,0,0
