wave,no,time,enemy_id,gate,loop,health_increment,damage_increment,armor_increment,resistance_increment,move_increment,gold,health,time_auto_next_wave,time_show_button_next
0,0,0,11,0,,,,,,,3000,1,20,20
0,1,1.6,11,0,,,,,,,,,,
0,2,1.6,11,0,,,,,,,,,,
0,3,1.6,11,0,,,,,,,,,,
0,4,1.6,7,0,,,,,,,,,,
0,5,1.6,7,0,,,,,,,,,,
0,6,1.6,7,0,,,,,,,,,,
0,7,1.6,7,0,,,,,,,,,,
0,8,1.6,12,0,,,,,,,,,,
0,9,1.6,12,0,,,,,,,,,,
0,10,1.6,12,0,,,,,,,,,,
0,11,1.6,12,0,,,,,,,,,,
0,12,1.6,7,0,,,,,,,,,,
0,13,1.6,7,0,,,,,,,,,,
0,14,1.6,7,0,,,,,,,,,,
0,15,1.6,7,0,,,,,,,,,,
0,16,1.6,7,0,,,,,,,,,,
0,0,25.6,11,3,,,,,,,,,,
0,1,2,12,3,,,,,,,,,,
0,2,2,7,3,,,,,,,,,,
0,3,2,11,3,,,,,,,,,,
0,4,2,12,3,,,,,,,,,,
0,5,2,10,3,,,,,,,,,,
0,6,2,11,3,,,,,,,,,,
0,7,2,12,3,,,,,,,,,,
0,8,2,10,3,,,,,,,,,,
0,9,2,11,3,,,,,,,,,,
0,10,2,12,3,,,,,,,,,,
0,11,2,10,3,,,,,,,,,,
0,0,20,11,1,,,,,,,,,,
0,1,2,12,1,,,,,,,,,,
0,2,2,7,1,,,,,,,,,,
0,3,2,11,1,,,,,,,,,,
0,4,2,12,1,,,,,,,,,,
0,5,2,10,1,,,,,,,,,,
0,6,2,11,1,,,,,,,,,,
0,7,2,10,1,,,,,,,,,,
0,8,2,10,1,,,,,,,,,,
0,9,2,11,1,,,,,,,,,,
0,10,2,10,1,,,,,,,,,,
0,11,2,10,1,,,,,,,,,,
1,0,0,11,1,,20,20,20,20,,,,,
1,1,2,11,1,,20,20,20,20,,,,,
1,2,2,11,1,,20,20,20,20,,,,,
1,3,2,11,1,,20,20,20,20,,,,,
1,4,2,11,1,,20,20,20,20,,,,,
1,5,2,11,1,,20,20,20,20,,,,,
1,6,2,11,1,,20,20,20,20,,,,,
1,7,2,11,1,,20,20,20,20,,,,,
1,8,2,11,1,,20,20,20,20,,,,,
1,0,19.2,3,3,,20,20,20,20,,,,,
1,1,0.6,3,3,,20,20,20,20,,,,,
1,2,0.6,3,3,,20,20,20,20,,,,,
1,3,0.6,12,3,,20,20,20,20,,,,,
1,4,0.6,12,3,,20,20,20,20,,,,,
1,5,0.6,12,3,,20,20,20,20,,,,,
1,6,0.6,3,3,,20,20,20,20,,,,,
1,7,0.6,3,3,,20,20,20,20,,,,,
1,8,0.6,3,3,,20,20,20,20,,,,,
1,9,0.6,12,3,,20,20,20,20,,,,,
1,10,0.6,12,3,,20,20,20,20,,,,,
1,11,0.6,12,3,,20,20,20,20,,,,,
1,12,1.4,3,3,,20,20,20,20,,,,,
1,13,1.7,3,3,,20,20,20,20,,,,,
1,14,1.7,3,3,,20,20,20,20,,,,,
1,15,1.5,12,3,,20,20,20,20,,,,,
1,16,1,12,3,,20,20,20,20,,,,,
1,17,1.5,12,3,,20,20,20,20,,,,,
1,0,30,11,0,,20,20,20,20,,,,,
1,1,1.7,11,0,,20,20,20,20,,,,,
1,2,1.7,11,0,,20,20,20,20,,,,,
1,3,1.7,11,0,,20,20,20,20,,,,,
1,4,1.9,11,0,,20,20,20,20,,,,,
1,5,1.5,10,0,,20,20,20,20,,,,,
1,6,1,10,0,,20,20,20,20,,,,,
1,7,1.5,10,0,,20,20,20,20,,,,,
1,8,1.5,10,0,,20,20,20,20,,,,,
1,9,1.6,10,0,,20,20,20,20,,,,,
1,10,1.5,11,0,,20,20,20,20,,,,,
1,11,1.5,11,0,,20,20,20,20,,,,,
1,12,1.6,11,0,,20,20,20,20,,,,,
