wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star
0,0,0,0,1,1500,20,20,20,,18,10
0,1,2,0,1,,,,,,,
0,2,2,0,1,,,,,,,
0,3,2,2,1,,,,,,,
0,4,2,2,1,,,,,,,
0,5,2,2,1,,,,,,,
0,6,1.6,0,1,,,,,,,
0,7,1.6,0,1,,,,,,,
0,8,1.6,0,1,,,,,,,
0,9,1.6,1,1,,,,,,,
0,10,1.6,1,1,,,,,,,
0,11,1.6,1,1,,,,,,,
0,12,1.8,0,1,,,,,,,
0,13,2,0,1,,,,,,,
0,14,2,0,1,,,,,,,
0,15,2,2,1,,,,,,,
0,16,2,2,1,,,,,,,
0,17,2,2,1,,,,,,,
0,18,2,1,1,,,,,,,
0,19,2,1,1,,,,,,,
0,20,2,1,1,,,,,,,
0,21,2,2,1,,,,,,,
0,22,2,2,1,,,,,,,
0,23,2,2,1,,,,,,,
0,0,1,0,0,,,,,,,
0,1,2,0,0,,,,,,,
0,2,2,2,0,,,,,,,
0,3,2,2,0,,,,,,,
0,4,2,2,0,,,,,,,
0,5,1.8,0,0,,,,,,,
0,6,1.6,0,0,,,,,,,
0,7,1.6,0,0,,,,,,,
0,8,1.6,1,0,,,,,,,
0,9,1.6,1,0,,,,,,,
0,10,1.6,1,0,,,,,,,
0,11,1.6,1,0,,,,,,,
0,12,2,0,0,,,,,,,
0,13,2,0,0,,,,,,,
0,14,2,0,0,,,,,,,
0,15,2,2,0,,,,,,,
0,16,2,2,0,,,,,,,
0,17,2,2,0,,,,,,,
0,18,2,1,0,,,,,,,
0,19,2,1,0,,,,,,,
0,20,2,1,0,,,,,,,
0,21,2,2,0,,,,,,,
0,22,2,2,0,,,,,,,
0,23,2,2,0,,,,,,,
1,0,0,4,1,,,,,,,
1,1,1.5,4,1,,,,,,,
1,2,1.5,4,1,,,,,,,
1,3,1.5,4,1,,,,,,,
1,4,1.5,4,1,,,,,,,
