id,buff_type,value,is_ratio,is_redure,note_gd
0,0,10,1,1,RedureUpgradeHero
1,0,20,1,1,RedureUpgradeHero
2,0,30,1,1,RedureUpgradeHero
3,0,40,1,1,RedureUpgradeHero
4,1,1,0,0,BonusTournamentEnergyNewDay
5,1,2,0,0,BonusTournamentEnergyNewDay
6,1,3,0,0,BonusTournamentEnergyNewDay
7,1,4,0,0,BonusTournamentEnergyNewDay
8,2,10,1,0,BonusCampaignGem
9,2,20,1,0,BonusCampaignGem
10,2,30,1,0,BonusCampaignGem
11,2,40,1,0,BonusCampaignGem
12,3,20,1,0,BonusDailyGiftGem
13,3,30,1,0,BonusDailyGiftGem
14,3,40,1,0,BonusDailyGiftGem
15,4,20,1,0,BonusDailyGiftCrystal
16,4,30,1,0,BonusDailyGiftCrystal
17,4,40,1,0,BonusDailyGiftCrystal
18,5,1,0,1,RedureTimeReviveHero
19,5,2,0,1,RedureTimeReviveHero
20,5,3,0,1,RedureTimeReviveHero
21,6,20,1,1,RedurePriceBuyPowerItem
22,6,30,1,1,RedurePriceBuyPowerItem
23,7,20,1,0,BonusGemBuyShop
24,7,30,1,0,BonusGemBuyShop
25,8,20,1,0,BonusCrystalBuyShop
26,8,30,1,0,BonusCrystalBuyShop
27,9,20,1,1,RedurePricebuyRuneShop
28,7,10,1,0,BonusGemBuyShop
29,8,10,1,0,BonusCrystalBuyShop
30,10,100,1,0,BonusFirstByShop
31,11,200,1,0,SpecialOffer
