item_id,id,product_id,price,type,quantity,consumable,vip_point,item_type
0,0,com.zitga.empire.warriors.td.tower.defense_winning_offer_1,0.99,17,2,1,10,2
0,0,,,9,10,,,
1,0,com.zitga.empire.warriors.td.tower.defense_winning_offer_2,0.99,17,3,1,10,2
1,0,,,9,20,,,
2,0,com.zitga.empire.warriors.td.tower.defense_winning_offer_3,0.99,17,4,1,10,2
2,0,,,9,30,,,
3,0,com.zitga.empire.warriors.td.tower.defense_winning_offer_4_1,0.99,17,5,1,10,2
3,0,,,9,20,,,
4,0,com.zitga.empire.warriors.td.tower.defense_winning_offer_4_2,0.99,17,5,1,10,2
4,0,,,9,20,,,
5,0,com.zitga.empire.warriors.td.tower.defense_winning_offer_4_3,0.99,17,5,1,10,2
5,0,,,9,20,,,
6,0,com.zitga.empire.warriors.td.tower.defense_winning_offer_5,0.99,17,5,1,10,2
