item_id,id,product_id,price,type,quantity,consumable,vip_point,limit_number_in_day,time_reset_next_buy,limit_total_number,item_type
0,0,,0,208,5,1,,1,-1,-1,206
1,0,,0,208,10,1,,2,-1,-1,14
1,0,,0,0,50,,,,,,
2,0,com.zitga.empire.warriors.td.tower.defense_zenecia_bundle_1,0.99,208,30,1,10,3,-1,-1,209
2,0,,0,0,300,,,,,,
2,0,,0,9,100,,,,,,
3,0,com.zitga.empire.warriors.td.tower.defense_zenecia_bundle_2,2.99,208,90,1,30,3,-1,-1,209
3,0,,,0,900,,,,,,
3,0,,,9,350,,,,,,
4,0,com.zitga.empire.warriors.td.tower.defense_zenecia_bundle_3,4.99,208,150,1,50,3,-1,-1,209
4,0,,,0,1500,,,,,,
4,0,,,9,600,,,,,,
5,13,com.zitga.empire.warriors.td.tower.defense_zenecia_bundle_4,11.99,7,1,1,120,1,-1,1,209
5,0,,,208,450,,,,,,
5,0,,,9,1100,,,,,,
